samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
808756,1,boost_long,1.8624174098723187,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
8300,1,boost_long,1.4867283339698005,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
627623,1,boost_long,1.8066830099813367,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
201511,1,boost_long,1.9792899268325495,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
219328,1,boost_long,1.5398429563916112,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
829789,1,boost_long,1.2005755250569756,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
601501,1,boost_long,1.7907121591111501,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
76020,1,boost_long,1.2999087938324907,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
803468,1,boost_long,1.890903044540177,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
909833,1,boost_long,1.7088509471016498,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
614447,1,boost_long,1.6538389390429815,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
485389,1,boost_long,1.0132638769928006,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
12218,1,boost_long,1.1732533587541458,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
387143,1,boost_long,1.4132739693143508,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
157078,1,boost_long,1.213491147615969,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
933494,1,boost_long,1.726942797879972,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
414151,1,boost_long,1.2774022738104005,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
860669,1,boost_long,1.5856308134087649,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
180711,1,boost_long,1.7198890403464793,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
584484,1,boost_long,1.151880345097484,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
565096,1,boost_long,1.0002473550501902,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
996445,1,boost_long,1.469075455873317,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
737829,1,boost_long,1.9287846238635704,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
108029,1,boost_long,1.3532474122295315,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
423627,1,boost_long,1.1896014138818083,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
819265,1,boost_long,1.9066486404125307,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
361678,1,boost_long,1.7616955088123745,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
759104,1,boost_long,1.3235636058692781,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
399687,1,boost_long,1.7583247190689688,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
411165,1,boost_long,1.3487353760193013,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
304563,1,boost_long,1.1016681614875976,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
584889,1,boost_long,1.7280084058628742,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
233747,1,boost_long,1.327540213447599,Long-term boost,IC50,"Long-term boost
(IC50)",1.09545139652914,1.85501135583583
