age,samp_no,chain_no,j,ar,N
0,400001,1,2001,0.047619047619047616,21
0,400001,1,2002,0.4716981132075472,53
0,400001,1,2003,0.31343283582089554,67
0,400001,1,2004,0,94
0,400001,1,2005,0.23148148148148148,108
0,400001,1,2006,0.037383177570093455,107
0,400001,1,2007,0.25,92
0,400001,1,2008,0.12121212121212122,66
0,400001,1,2009,0.42857142857142855,35
0,400001,1,2010,0,10
0,400001,1,2011,0,3
0,400001,2,2001,0.23809523809523808,21
0,400001,2,2002,0.4339622641509434,53
0,400001,2,2003,0.2835820895522388,67
0,400001,2,2004,0.09574468085106383,94
0,400001,2,2005,0.12962962962962962,108
0,400001,2,2006,0.04672897196261682,107
0,400001,2,2007,0.18478260869565216,92
0,400001,2,2008,0.09090909090909091,66
0,400001,2,2009,0.42857142857142855,35
0,400001,2,2010,0,10
0,400001,2,2011,0,3
0,400001,3,2001,0.42857142857142855,21
0,400001,3,2002,0.37735849056603776,53
0,400001,3,2003,0.23880597014925373,67
0,400001,3,2004,0.031914893617021274,94
0,400001,3,2005,0.1388888888888889,108
0,400001,3,2006,0.07476635514018691,107
0,400001,3,2007,0.1956521739130435,92
0,400001,3,2008,0.10606060606060606,66
0,400001,3,2009,0.42857142857142855,35
0,400001,3,2010,0,10
0,400001,3,2011,0,3
0,400001,4,2001,0,21
0,400001,4,2002,0.5094339622641509,53
0,400001,4,2003,0.11940298507462686,67
0,400001,4,2004,0.11702127659574468,94
0,400001,4,2005,0.12962962962962962,108
0,400001,4,2006,0.09345794392523364,107
0,400001,4,2007,0.1956521739130435,92
0,400001,4,2008,0.15151515151515152,66
0,400001,4,2009,0.42857142857142855,35
0,400001,4,2010,0,10
0,400001,4,2011,0,3
0,400001,5,2001,0.2857142857142857,21
0,400001,5,2002,0.41509433962264153,53
0,400001,5,2003,0.26865671641791045,67
0,400001,5,2004,0.0851063829787234,94
0,400001,5,2005,0.12037037037037036,108
0,400001,5,2006,0.07476635514018691,107
0,400001,5,2007,0.20652173913043478,92
0,400001,5,2008,0.13636363636363635,66
0,400001,5,2009,0.42857142857142855,35
0,400001,5,2010,0,10
0,400001,5,2011,0,3
0,405001,1,2001,0.47619047619047616,21
0,405001,1,2002,0.4528301886792453,53
0,405001,1,2003,0.31343283582089554,67
0,405001,1,2004,0.0425531914893617,94
0,405001,1,2005,0.1388888888888889,108
0,405001,1,2006,0.08411214953271028,107
0,405001,1,2007,0.22826086956521738,92
0,405001,1,2008,0.16666666666666666,66
0,405001,1,2009,0.45714285714285713,35
0,405001,1,2010,0,10
0,405001,1,2011,0,3
0,405001,2,2001,0.42857142857142855,21
0,405001,2,2002,0.4716981132075472,53
0,405001,2,2003,0.23880597014925373,67
0,405001,2,2004,0.14893617021276595,94
0,405001,2,2005,0.17592592592592593,108
0,405001,2,2006,0.037383177570093455,107
0,405001,2,2007,0.20652173913043478,92
0,405001,2,2008,0.13636363636363635,66
0,405001,2,2009,0.42857142857142855,35
0,405001,2,2010,0,10
0,405001,2,2011,0,3
0,405001,3,2001,0,21
0,405001,3,2002,0.4716981132075472,53
0,405001,3,2003,0.1791044776119403,67
0,405001,3,2004,0,94
0,405001,3,2005,0.1574074074074074,108
0,405001,3,2006,0.102803738317757,107
0,405001,3,2007,0.20652173913043478,92
0,405001,3,2008,0.16666666666666666,66
0,405001,3,2009,0.4,35
0,405001,3,2010,0,10
0,405001,3,2011,0,3
0,405001,4,2001,0.47619047619047616,21
0,405001,4,2002,0.4339622641509434,53
0,405001,4,2003,0.23880597014925373,67
0,405001,4,2004,0,94
0,405001,4,2005,0.2222222222222222,108
0,405001,4,2006,0.056074766355140186,107
0,405001,4,2007,0.21739130434782608,92
0,405001,4,2008,0.12121212121212122,66
0,405001,4,2009,0.42857142857142855,35
0,405001,4,2010,0,10
0,405001,4,2011,0,3
0,405001,5,2001,0.047619047619047616,21
0,405001,5,2002,0.4528301886792453,53
0,405001,5,2003,0.2537313432835821,67
0,405001,5,2004,0.07446808510638298,94
0,405001,5,2005,0.23148148148148148,108
0,405001,5,2006,0.06542056074766354,107
0,405001,5,2007,0.18478260869565216,92
0,405001,5,2008,0.09090909090909091,66
0,405001,5,2009,0.45714285714285713,35
0,405001,5,2010,0,10
0,405001,5,2011,0,3
0,410001,1,2001,0,21
0,410001,1,2002,0.41509433962264153,53
0,410001,1,2003,0.29850746268656714,67
0,410001,1,2004,0.10638297872340426,94
0,410001,1,2005,0.09259259259259259,108
0,410001,1,2006,0.04672897196261682,107
0,410001,1,2007,0.18478260869565216,92
0,410001,1,2008,0.12121212121212122,66
0,410001,1,2009,0.42857142857142855,35
0,410001,1,2010,0,10
0,410001,1,2011,0,3
0,410001,2,2001,0.23809523809523808,21
0,410001,2,2002,0.33962264150943394,53
0,410001,2,2003,0.14925373134328357,67
0,410001,2,2004,0.010638297872340425,94
0,410001,2,2005,0.1388888888888889,108
0,410001,2,2006,0.09345794392523364,107
0,410001,2,2007,0.17391304347826086,92
0,410001,2,2008,0.16666666666666666,66
0,410001,2,2009,0.42857142857142855,35
0,410001,2,2010,0,10
0,410001,2,2011,0,3
0,410001,3,2001,0.42857142857142855,21
0,410001,3,2002,0.33962264150943394,53
0,410001,3,2003,0.2537313432835821,67
0,410001,3,2004,0.031914893617021274,94
0,410001,3,2005,0.12962962962962962,108
0,410001,3,2006,0.06542056074766354,107
0,410001,3,2007,0.1956521739130435,92
0,410001,3,2008,0.12121212121212122,66
0,410001,3,2009,0.45714285714285713,35
0,410001,3,2010,0,10
0,410001,3,2011,0,3
0,410001,4,2001,0.47619047619047616,21
0,410001,4,2002,0.32075471698113206,53
0,410001,4,2003,0.34328358208955223,67
0,410001,4,2004,0.09574468085106383,94
0,410001,4,2005,0.23148148148148148,108
0,410001,4,2006,0.037383177570093455,107
0,410001,4,2007,0.2391304347826087,92
0,410001,4,2008,0.13636363636363635,66
0,410001,4,2009,0.4,35
0,410001,4,2010,0,10
0,410001,4,2011,0,3
0,410001,5,2001,0.23809523809523808,21
0,410001,5,2002,0.4339622641509434,53
0,410001,5,2003,0.14925373134328357,67
0,410001,5,2004,0.031914893617021274,94
0,410001,5,2005,0.18518518518518517,108
0,410001,5,2006,0.037383177570093455,107
0,410001,5,2007,0.15217391304347827,92
0,410001,5,2008,0.13636363636363635,66
0,410001,5,2009,0.4,35
0,410001,5,2010,0,10
0,410001,5,2011,0,3
0,415001,1,2001,0.047619047619047616,21
0,415001,1,2002,0.4528301886792453,53
0,415001,1,2003,0.11940298507462686,67
0,415001,1,2004,0.07446808510638298,94
0,415001,1,2005,0.1111111111111111,108
0,415001,1,2006,0.028037383177570093,107
