samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
129755,1,boost_long,1.6253554040853333,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
976201,1,boost_long,1.1282826513663653,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
469039,1,boost_long,1.2590381705028053,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
574034,1,boost_long,1.8144274010902106,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
744896,1,boost_long,1.8045207939678094,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
274246,1,boost_long,1.5210877343684008,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
213924,1,boost_long,1.614386718535948,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
22218,1,boost_long,1.417591479751381,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
210362,1,boost_long,1.939895909945152,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
305189,1,boost_long,1.2098662729876377,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
839312,1,boost_long,1.6128803280885864,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
918483,1,boost_long,1.9516038107933538,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
347055,1,boost_long,1.6270357672538487,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
256227,1,boost_long,1.479073903222329,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
118982,1,boost_long,1.9994245935557267,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
673118,1,boost_long,1.5270270485586244,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
988654,1,boost_long,1.9670492743480616,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
755349,1,boost_long,1.6408567774911986,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
45712,1,boost_long,1.165203598153384,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
640549,1,boost_long,1.3835490236768324,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
842878,1,boost_long,1.7052079561502305,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
166170,1,boost_long,1.9472043227571354,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
262876,1,boost_long,1.5179949257765746,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
802256,1,boost_long,1.816404911305334,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
718036,1,boost_long,1.7435389096673726,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
62836,1,boost_long,1.0147147024960657,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
616769,1,boost_long,1.2053504698076778,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
69234,1,boost_long,1.6704820307185215,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
212950,1,boost_long,1.4144523540166052,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
520670,1,boost_long,1.6013421492226807,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
105958,1,boost_long,1.809384979042964,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
793161,1,boost_long,1.501092400673323,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
424810,1,boost_long,1.2313400100921212,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
618387,1,boost_long,1.973043116702173,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
179017,1,boost_long,1.1128445439617756,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
617903,1,boost_long,1.3969646040670205,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
713192,1,boost_long,1.9040293715401229,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
25224,1,boost_long,1.7788489289464204,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
511980,1,boost_long,1.9704667667046345,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
224798,1,boost_long,1.5017926748443275,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
490898,1,boost_long,1.1310469648278512,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
885960,1,boost_long,1.5828072131229465,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
777347,1,boost_long,1.9041313433519778,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
294546,1,boost_long,1.6312880750105916,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
489998,1,boost_long,1.299575473252118,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
7688,1,boost_long,1.5025627495015224,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
993541,1,boost_long,1.884411717733508,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
434665,1,boost_long,1.3232467888130381,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
540245,1,boost_long,1.7157896727415896,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
969335,1,boost_long,1.5798748611606441,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
388200,1,boost_long,1.944321031446716,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
785881,1,boost_long,1.8753490402894595,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
815938,1,boost_long,1.9671098222028143,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
478119,1,boost_long,1.052071117463696,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
957132,1,boost_long,1.4964955230397015,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
735093,1,boost_long,1.7577139506641284,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
631453,1,boost_long,1.89039692372622,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
558917,1,boost_long,1.75705776952583,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
510824,1,boost_long,1.3317530993953504,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
90582,1,boost_long,1.5058400752364274,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
940972,1,boost_long,1.0137235080722893,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
667117,1,boost_long,1.6525403748845557,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
517973,1,boost_long,1.654582573848243,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
365011,1,boost_long,1.6429088496474606,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
469436,1,boost_long,1.5583252613876106,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
550149,1,boost_long,1.7943967779611067,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
712603,1,boost_long,1.116817433510399,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
49268,1,boost_long,2.0103296729975795,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
772721,1,boost_long,1.1732524783701606,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
783134,1,boost_long,1.7928536769964574,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
802007,1,boost_long,1.017043613651631,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
992622,1,boost_long,1.376380726664625,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
401630,1,boost_long,1.2621589449707418,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
969214,1,boost_long,1.5199349326294271,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
924216,1,boost_long,1.5246293167976364,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
111604,1,boost_long,1.3321214433464017,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
678099,1,boost_long,1.5542552730478567,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
281206,1,boost_long,1.9735978473443474,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
341137,1,boost_long,1.513350014576679,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
658336,1,boost_long,1.1892173921572442,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
999336,1,boost_long,1.5329035539527875,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
245513,1,boost_long,1.777727217721598,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
476029,1,boost_long,1.1912445507218745,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
936739,1,boost_long,1.213002710879607,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
213339,1,boost_long,1.3686769411871473,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
569150,1,boost_long,1.8224022670406268,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
842324,1,boost_long,1.4327809160114933,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
576139,1,boost_long,1.1532524109260065,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
405017,1,boost_long,2.0095971635103096,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
38030,1,boost_long,1.5204756949280775,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
741083,1,boost_long,1.7038817267304127,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
663805,1,boost_long,1.3509645245891617,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
783721,1,boost_long,1.4192777520663844,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
630222,1,boost_long,1.5114475229928268,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
146480,1,boost_long,1.704970831606989,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
866194,1,boost_long,1.4901198239462345,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
1627,1,boost_long,1.7265228616646662,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
924054,1,boost_long,1.7363989662706951,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
499278,1,boost_long,1.4220171459556834,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
702396,1,boost_long,1.8726566374563816,Long-term boost,IC50,"Long-term boost
(IC50)",1.08805353730554,1.836260734213
