samp_no,chain_no,names_new,est,names,values,biomarker_group,biomarker_group_label,run_name,map,name_key,label
301001,1,boost_long,1.70920252245653,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,1,boost_short,4.2682159233775,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,1,antigenic_seniority,0.0440051035557935,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,1,wane_short,0.55148530523313,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,1,cr_long,1.30092720770271,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,1,cr_short,0.0019830532835172,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,1,obs_sd,1.08762101795405,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,2,boost_long,1.57366204015043,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,2,boost_short,4.51413934387139,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,2,antigenic_seniority,0.108124204758376,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,2,wane_short,0.51747370577369,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,2,cr_long,1.89132537161599,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,2,cr_short,0.0144833899733818,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,2,obs_sd,1.14246318454749,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,3,boost_long,1.48781812371022,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,3,boost_short,4.60162423654936,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,3,antigenic_seniority,0.0705937208882818,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,3,wane_short,0.533379375561028,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,3,cr_long,1.64622206215338,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,3,cr_short,0.0125408695479144,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,3,obs_sd,1.08102023728839,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,4,boost_long,1.63195847586646,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,4,boost_short,4.5967552512386,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
