population_group,time,samp_no,chain_no,V1,taken,n_alive,run_name,map
1,2001,100001,1,0,No,21,ic50_kendra,kendra
1,2001,100001,2,0,No,21,ic50_kendra,kendra
1,2001,100001,3,0,No,21,ic50_kendra,kendra
1,2001,100001,4,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,100001,5,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,101251,1,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,101251,2,0,No,21,ic50_kendra,kendra
1,2001,101251,3,0,No,21,ic50_kendra,kendra
1,2001,101251,4,0,No,21,ic50_kendra,kendra
1,2001,101251,5,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,102501,1,0.6190476190476191,No,21,ic50_kendra,kendra
1,2001,102501,2,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,102501,3,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,102501,4,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,102501,5,0.47619047619047616,No,21,ic50_kendra,kendra
1,2001,103751,1,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,103751,2,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,103751,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,103751,4,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,103751,5,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,105001,1,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,105001,2,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,105001,3,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,105001,4,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,105001,5,0,No,21,ic50_kendra,kendra
1,2001,106251,1,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,106251,2,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,106251,3,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,106251,4,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,106251,5,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,107501,1,0,No,21,ic50_kendra,kendra
1,2001,107501,2,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,107501,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,107501,4,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,107501,5,0,No,21,ic50_kendra,kendra
1,2001,108751,1,0.42857142857142855,No,21,ic50_kendra,kendra
1,2001,108751,2,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,108751,3,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,108751,4,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,108751,5,0,No,21,ic50_kendra,kendra
1,2001,110001,1,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,110001,2,0,No,21,ic50_kendra,kendra
1,2001,110001,3,0,No,21,ic50_kendra,kendra
1,2001,110001,4,0.42857142857142855,No,21,ic50_kendra,kendra
1,2001,110001,5,0,No,21,ic50_kendra,kendra
1,2001,111251,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,111251,2,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,111251,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,111251,4,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,111251,5,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,112501,1,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,112501,2,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,112501,3,0.47619047619047616,No,21,ic50_kendra,kendra
1,2001,112501,4,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,112501,5,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,113751,1,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,113751,2,0,No,21,ic50_kendra,kendra
1,2001,113751,3,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,113751,4,0.7142857142857143,No,21,ic50_kendra,kendra
1,2001,113751,5,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,115001,1,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,115001,2,0,No,21,ic50_kendra,kendra
1,2001,115001,3,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,115001,4,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,115001,5,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,116251,1,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,116251,2,0,No,21,ic50_kendra,kendra
1,2001,116251,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,116251,4,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,116251,5,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,117501,1,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,117501,2,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,117501,3,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,117501,4,0,No,21,ic50_kendra,kendra
1,2001,117501,5,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,118751,1,0.6666666666666666,No,21,ic50_kendra,kendra
1,2001,118751,2,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,118751,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,118751,4,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,118751,5,0.7619047619047619,No,21,ic50_kendra,kendra
1,2001,120001,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,120001,2,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,120001,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,120001,4,0,No,21,ic50_kendra,kendra
1,2001,120001,5,0,No,21,ic50_kendra,kendra
1,2001,121251,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,121251,2,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,121251,3,0,No,21,ic50_kendra,kendra
1,2001,121251,4,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,121251,5,0.42857142857142855,No,21,ic50_kendra,kendra
1,2001,122501,1,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,122501,2,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,122501,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,122501,4,0,No,21,ic50_kendra,kendra
1,2001,122501,5,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,123751,1,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,123751,2,0,No,21,ic50_kendra,kendra
1,2001,123751,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,123751,4,0,No,21,ic50_kendra,kendra
1,2001,123751,5,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,125001,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,125001,2,0,No,21,ic50_kendra,kendra
1,2001,125001,3,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,125001,4,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,125001,5,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,126251,1,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,126251,2,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,126251,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,126251,4,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,126251,5,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,127501,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,127501,2,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,127501,3,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,127501,4,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,127501,5,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,128751,1,0,No,21,ic50_kendra,kendra
1,2001,128751,2,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,128751,3,0.47619047619047616,No,21,ic50_kendra,kendra
1,2001,128751,4,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,128751,5,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,130001,1,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,130001,2,0,No,21,ic50_kendra,kendra
1,2001,130001,3,0,No,21,ic50_kendra,kendra
1,2001,130001,4,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,130001,5,0,No,21,ic50_kendra,kendra
1,2001,131251,1,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,131251,2,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,131251,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,131251,4,0.6190476190476191,No,21,ic50_kendra,kendra
1,2001,131251,5,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,132501,1,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,132501,2,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,132501,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,132501,4,0,No,21,ic50_kendra,kendra
1,2001,132501,5,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,133751,1,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,133751,2,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,133751,3,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,133751,4,0,No,21,ic50_kendra,kendra
1,2001,133751,5,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,135001,1,0,No,21,ic50_kendra,kendra
1,2001,135001,2,0.6190476190476191,No,21,ic50_kendra,kendra
1,2001,135001,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,135001,4,0,No,21,ic50_kendra,kendra
1,2001,135001,5,0.6190476190476191,No,21,ic50_kendra,kendra
1,2001,136251,1,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,136251,2,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,136251,3,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,136251,4,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,136251,5,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,137501,1,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,137501,2,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,137501,3,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,137501,4,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,137501,5,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,138751,1,0,No,21,ic50_kendra,kendra
1,2001,138751,2,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,138751,3,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,138751,4,0.6666666666666666,No,21,ic50_kendra,kendra
1,2001,138751,5,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,140001,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,140001,2,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,140001,3,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,140001,4,0.42857142857142855,No,21,ic50_kendra,kendra
1,2001,140001,5,0.42857142857142855,No,21,ic50_kendra,kendra
1,2001,141251,1,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,141251,2,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,141251,3,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,141251,4,0,No,21,ic50_kendra,kendra
1,2001,141251,5,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,142501,1,0.47619047619047616,No,21,ic50_kendra,kendra
1,2001,142501,2,0,No,21,ic50_kendra,kendra
1,2001,142501,3,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,142501,4,0.42857142857142855,No,21,ic50_kendra,kendra
1,2001,142501,5,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,143751,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,143751,2,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,143751,3,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,143751,4,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,143751,5,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,145001,1,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,145001,2,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,145001,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,145001,4,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,145001,5,0,No,21,ic50_kendra,kendra
1,2001,146251,1,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,146251,2,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,146251,3,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,146251,4,0.047619047619047616,No,21,ic50_kendra,kendra
1,2001,146251,5,0.5238095238095238,No,21,ic50_kendra,kendra
1,2001,147501,1,0,No,21,ic50_kendra,kendra
1,2001,147501,2,0,No,21,ic50_kendra,kendra
1,2001,147501,3,0.3333333333333333,No,21,ic50_kendra,kendra
1,2001,147501,4,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,147501,5,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,148751,1,0.14285714285714285,No,21,ic50_kendra,kendra
1,2001,148751,2,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,148751,3,0.38095238095238093,No,21,ic50_kendra,kendra
1,2001,148751,4,0.2857142857142857,No,21,ic50_kendra,kendra
1,2001,148751,5,0.5714285714285714,No,21,ic50_kendra,kendra
1,2001,150001,1,0,No,21,ic50_kendra,kendra
1,2001,150001,2,0,No,21,ic50_kendra,kendra
1,2001,150001,3,0,No,21,ic50_kendra,kendra
1,2001,150001,4,0.09523809523809523,No,21,ic50_kendra,kendra
1,2001,150001,5,0.47619047619047616,No,21,ic50_kendra,kendra
1,2001,151251,1,0.19047619047619047,No,21,ic50_kendra,kendra
1,2001,151251,2,0.23809523809523808,No,21,ic50_kendra,kendra
1,2001,151251,3,0.6190476190476191,No,21,ic50_kendra,kendra
1,2001,151251,4,0.3333333333333333,No,21,ic50_kendra,kendra
