samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
844660,1,boost_long,2.657537591026762,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
31140,1,boost_long,1.7930777045907598,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
337841,1,boost_long,2.2212101254095002,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
38287,1,boost_long,1.3990068891749488,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
231424,1,boost_long,2.0619795807517,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
671669,1,boost_long,1.4471903052249646,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
516238,1,boost_long,1.6008846873412683,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
745138,1,boost_long,1.686723848132399,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
876266,1,boost_long,1.7530551688832214,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
977083,1,boost_long,2.323587618735991,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
70073,1,boost_long,1.2990373162480835,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
107971,1,boost_long,2.2001230545630563,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
417394,1,boost_long,1.5570015142100198,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
583193,1,boost_long,2.4117921210468274,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
704324,1,boost_long,2.544147053923014,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
318215,1,boost_long,1.8739798616014494,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
3597,1,boost_long,2.3709247757382412,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
525568,1,boost_long,2.8146321205464093,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
2327,1,boost_long,1.3456228957746381,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
103277,1,boost_long,1.7835886099359661,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
779697,1,boost_long,2.7669609547935647,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
260048,1,boost_long,2.0024799869278618,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
59893,1,boost_long,2.2403381825789763,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
91447,1,boost_long,2.1469492837475186,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
16533,1,boost_long,1.3984770305787726,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
264861,1,boost_long,1.9145775077293345,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
622801,1,boost_long,2.498111956486705,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
965685,1,boost_long,2.4932725615916587,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
649983,1,boost_long,1.2736181147205154,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
160409,1,boost_long,1.8248739068149489,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
985054,1,boost_long,2.427225290895662,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
7874,1,boost_long,1.2437302600732287,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
808875,1,boost_long,1.2425425452540184,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
277496,1,boost_long,2.031067935232517,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
22993,1,boost_long,1.9012160339432578,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
338436,1,boost_long,2.346029243124272,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
558078,1,boost_long,2.631950455829526,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
470528,1,boost_long,1.8956237745413875,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
590989,1,boost_long,1.917403543098767,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
919263,1,boost_long,2.6476733383226754,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
484348,1,boost_long,2.48597095630477,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
409329,1,boost_long,1.7450756709215702,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
95804,1,boost_long,2.3648864402796606,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
694082,1,boost_long,1.345042947046709,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
618517,1,boost_long,2.5740361205386533,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
150394,1,boost_long,1.4873908951792336,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
435439,1,boost_long,1.7891372494661673,Long-term boost,IC50,"Long-term boost
(IC50)",1.23900172156382,2.61009030611914
