age,samp_no,chain_no,j,ar,N
0,100001,1,2001,0.19047619047619047,21
0,100001,1,2002,0.4528301886792453,53
0,100001,1,2003,0.26865671641791045,67
0,100001,1,2004,0.010638297872340425,94
0,100001,1,2005,0.2037037037037037,108
0,100001,1,2006,0.08411214953271028,107
0,100001,1,2007,0.15217391304347827,92
0,100001,1,2008,0.045454545454545456,66
0,100001,1,2009,0.4857142857142857,35
0,100001,1,2010,0,10
0,100001,1,2011,0,3
0,100001,2,2001,0,21
0,100001,2,2002,0.3584905660377358,53
0,100001,2,2003,0.43283582089552236,67
0,100001,2,2004,0.07446808510638298,94
0,100001,2,2005,0.1111111111111111,108
0,100001,2,2006,0.04672897196261682,107
0,100001,2,2007,0.18478260869565216,92
0,100001,2,2008,0,66
0,100001,2,2009,0.42857142857142855,35
0,100001,2,2010,0,10
0,100001,2,2011,0,3
0,100001,3,2001,0.19047619047619047,21
0,100001,3,2002,0.16981132075471697,53
0,100001,3,2003,0.34328358208955223,67
0,100001,3,2004,0.010638297872340425,94
0,100001,3,2005,0.18518518518518517,108
0,100001,3,2006,0.07476635514018691,107
0,100001,3,2007,0.08695652173913043,92
0,100001,3,2008,0.045454545454545456,66
0,100001,3,2009,0.5428571428571428,35
0,100001,3,2010,0,10
0,100001,3,2011,0,3
0,100001,4,2001,0,21
0,100001,4,2002,0.49056603773584906,53
0,100001,4,2003,0.2835820895522388,67
0,100001,4,2004,0.26595744680851063,94
0,100001,4,2005,0.14814814814814814,108
0,100001,4,2006,0.06542056074766354,107
0,100001,4,2007,0.15217391304347827,92
0,100001,4,2008,0,66
0,100001,4,2009,0.42857142857142855,35
0,100001,4,2010,0,10
0,100001,4,2011,0,3
0,100001,5,2001,0.5238095238095238,21
0,100001,5,2002,0.5094339622641509,53
0,100001,5,2003,0,67
0,100001,5,2004,0.09574468085106383,94
0,100001,5,2005,0.1574074074074074,108
0,100001,5,2006,0.08411214953271028,107
0,100001,5,2007,0.08695652173913043,92
0,100001,5,2008,0.07575757575757576,66
0,100001,5,2009,0.42857142857142855,35
0,100001,5,2010,0,10
0,100001,5,2011,0,3
0,101251,1,2001,0.047619047619047616,21
0,101251,1,2002,0.2830188679245283,53
0,101251,1,2003,0.373134328358209,67
0,101251,1,2004,0.11702127659574468,94
0,101251,1,2005,0.18518518518518517,108
0,101251,1,2006,0.07476635514018691,107
0,101251,1,2007,0.14130434782608695,92
0,101251,1,2008,0.030303030303030304,66
0,101251,1,2009,0.4857142857142857,35
0,101251,1,2010,0,10
0,101251,1,2011,0,3
0,101251,2,2001,0.047619047619047616,21
0,101251,2,2002,0.5283018867924528,53
0,101251,2,2003,0.3283582089552239,67
0,101251,2,2004,0,94
0,101251,2,2005,0.23148148148148148,108
0,101251,2,2006,0.08411214953271028,107
0,101251,2,2007,0.07608695652173914,92
0,101251,2,2008,0.030303030303030304,66
0,101251,2,2009,0.42857142857142855,35
0,101251,2,2010,0,10
0,101251,2,2011,0,3
0,101251,3,2001,0.23809523809523808,21
0,101251,3,2002,0.37735849056603776,53
0,101251,3,2003,0.13432835820895522,67
0,101251,3,2004,0.010638297872340425,94
0,101251,3,2005,0.2222222222222222,108
0,101251,3,2006,0.04672897196261682,107
0,101251,3,2007,0.11956521739130435,92
0,101251,3,2008,0.045454545454545456,66
0,101251,3,2009,0.45714285714285713,35
0,101251,3,2010,0,10
0,101251,3,2011,0,3
0,101251,4,2001,0,21
