sample_time,biomarker_id,mean_titre1,lower,upper,strain
2001,2002,0,0,0,FH-2002
2001,2006,0,0,0,DH-2006
2001,2009,0,0,0,NO-2009
2001,2012,0,0,0,SY-2012
2002,2002,0.013097220725931181,0,0.044078652945724606,FH-2002
2002,2006,0.01105239571235311,0,0.0366507331566445,DH-2006
2002,2009,0.011046538046434155,0,0.036630882483093596,NO-2009
2002,2012,0.010942002452755116,0,0.03627603461679978,SY-2012
2003,2002,0.18362341454385664,0.12591889314358584,0.23753750025707057,FH-2002
2003,2006,0.10015475414381379,0.06789737785635025,0.13360650979344402,DH-2006
2003,2009,0.10024959993308043,0.06791540817337537,0.13368252572673808,NO-2009
2003,2012,0.09934619560144183,0.0677447678802671,0.13296306429885457,SY-2012
2004,2002,0.15795813070242884,0.10172180295682125,0.22650690543400723,FH-2002
2004,2006,0.08258210786386005,0.035111816512821,0.14082059331124605,DH-2006
2004,2009,0.0825862426617652,0.035111816512821,0.1408343882074445,NO-2009
2004,2012,0.08177842528847974,0.034615749673917943,0.1394306952408665,SY-2012
2005,2002,0.13190318187284267,0.08071426201664585,0.19960259811300643,FH-2002
2005,2006,0.059478304599053095,0.014104902272534588,0.12837814614295542,DH-2006
2005,2009,0.059258983818013485,0.014059382497978579,0.12794745001133692,NO-2009
2005,2012,0.05860959495072356,0.013881984966229447,0.12674202036942772,SY-2012
2006,2002,0.2598143726494086,0.1851913475611626,0.34164082275448393,FH-2002
2006,2006,0.1992644487297781,0.12906419104903452,0.2849096583626711,DH-2006
2006,2009,0.19528903550786025,0.1271171600720346,0.27633023585348837,NO-2009
2006,2012,0.1928957501459723,0.12591116593433815,0.27142755958870934,SY-2012
2007,2002,0.13912451969420353,0.09639915973626297,0.1879888529585525,FH-2002
2007,2006,0.11553217138368185,0.05854624712670036,0.17916100211061423,DH-2006
2007,2009,0.07077545237475856,0.034743337532900674,0.11866133139428259,NO-2009
2007,2012,0.07001331439606708,0.03457804142809895,0.11777006785359144,SY-2012
2008,2002,0.49320556336922583,0.4236036818048142,0.5673801157439455,FH-2002
2008,2006,0.4994880678511878,0.42623646264015386,0.5800253531601788,DH-2006
2008,2009,0.4580763013382185,0.38823507519153383,0.536094746619383,NO-2009
2008,2012,0.45318271133113514,0.3847102892651364,0.5276882560996443,SY-2012
2009,2002,0.40479714934686095,0.32200675290510694,0.5052946447269168,FH-2002
2009,2006,0.4006936131220736,0.32427026170749323,0.5078875009010472,DH-2006
2009,2009,0.3999199306336456,0.3162016972631828,0.5095163917906762,NO-2009
2009,2012,0.3602274067241302,0.27199958803794433,0.4652578221841669,SY-2012
2010,2002,0.4897665462875361,0.4141954700549921,0.5857129145225229,FH-2002
2010,2006,0.4886491944236335,0.4002576903028694,0.6035291831246767,DH-2006
2010,2009,0.7886756386777979,0.6798114508832899,0.9149069413696599,NO-2009
2010,2012,0.457448181647977,0.36499137635757,0.574287235634546,SY-2012
2011,2002,0.29310863622780536,0.23036447748554006,0.3739379222629836,FH-2002
2011,2006,0.27701884430079726,0.20527673188462667,0.36961783451659314,DH-2006
2011,2009,0.6185283483580215,0.5156836071079922,0.7274685166144655,NO-2009
2011,2012,0.2579017930886626,0.17735866415621604,0.35150608133680245,SY-2012
2012,2002,0.19629397528293416,0.14756898545836988,0.24515705671371688,FH-2002
2012,2006,0.1739721832159828,0.11944039451809481,0.22711543803187678,DH-2006
2012,2009,0.5235327805174523,0.4328157475108487,0.6355566061514195,NO-2009
2012,2012,0.17656867277662436,0.12010318372791096,0.2507688038813215,SY-2012
2001,2001,0,0,0,"Matched to 
circulating virus"
2002,2002,0.013097220725931181,0,0.044078652945724606,"Matched to 
circulating virus"
2003,2003,0.10687309562067433,0.0710302640067152,0.14342504290325458,"Matched to 
circulating virus"
2004,2004,0.08648344542012495,0.03644158750661839,0.14841950191446607,"Matched to 
circulating virus"
2005,2005,0.06053212529583667,0.014401553663494366,0.1303199305564535,"Matched to 
circulating virus"
2006,2006,0.1992644487297781,0.12906419104903452,0.2849096583626711,"Matched to 
circulating virus"
2007,2007,0.07182687193518711,0.034983875572738826,0.11994401646890614,"Matched to 
circulating virus"
2008,2008,0.508143096917791,0.4278877384149164,0.5821288425777383,"Matched to 
circulating virus"
2009,2009,0.3999199306336456,0.3162016972631828,0.5095163917906762,"Matched to 
circulating virus"
2010,2010,0.5531736769829412,0.4591422219435865,0.6597731890468568,"Matched to 
circulating virus"
2011,2011,0.39664663238270276,0.29512405047810975,0.5021997743975214,"Matched to 
circulating virus"
2012,2012,0.17656867277662436,0.12010318372791096,0.2507688038813215,"Matched to 
circulating virus"
