samp_no,chain_no,names_new,est,names,values,biomarker_group,biomarker_group_label,run_name,map,name_key,label
100001,1,boost_long,1.49324535591904,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
100001,1,boost_short,4.51467422164599,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
100001,1,antigenic_seniority,0.0580912707371152,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
100001,1,wane_short,0.535251581958507,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
100001,1,cr_long,1.4702969528205,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
100001,1,cr_short,0.0130271512090788,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
100001,1,obs_sd,1.11701215908462,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
100001,2,boost_long,1.36905543959045,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
100001,2,boost_short,4.73807098351805,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
100001,2,antigenic_seniority,0.0996944145121728,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
100001,2,wane_short,0.518408192339384,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
100001,2,cr_long,1.50241099135906,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
100001,2,cr_short,0.0171349999418254,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
100001,2,obs_sd,1.15273873197203,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
100001,3,boost_long,1.61421682428649,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
100001,3,boost_short,4.37485124392028,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
100001,3,antigenic_seniority,0.0378570251014289,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
100001,3,wane_short,0.48520134960408,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
100001,3,cr_long,1.59321081776551,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
100001,3,cr_short,0.0136203566424382,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
100001,3,obs_sd,1.12842672907245,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
100001,4,boost_long,1.42937282811515,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
100001,4,boost_short,4.76856914283836,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
100001,4,antigenic_seniority,0.0968206981816313,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
100001,4,wane_short,0.483534944029119,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
100001,4,cr_long,1.9539132977912,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
100001,4,cr_short,0.0237608660147469,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
100001,4,obs_sd,1.13830570313098,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
100001,5,boost_long,1.30632670755301,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
100001,5,boost_short,4.58301066231898,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
100001,5,antigenic_seniority,0.00928030687956042,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
100001,5,wane_short,0.486820554273725,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
100001,5,cr_long,1.71471630893395,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
100001,5,cr_short,0.0200850058444413,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
100001,5,obs_sd,1.09465452337046,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
101251,1,boost_long,1.49113165639559,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
101251,1,boost_short,4.7904536349915,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
101251,1,antigenic_seniority,0.0824453875627231,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
101251,1,wane_short,0.528621124552551,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
101251,1,cr_long,1.92331960416369,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
101251,1,cr_short,0.0144051656812633,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
101251,1,obs_sd,1.09970541617282,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
101251,2,boost_long,1.4758907735705,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
