Year,Data,Map,Estimate
2001,avid_debbink,Debbink,"0.143 (0, 0.524)"
2002,avid_debbink,Debbink,"0.149 (0, 0.392)"
2003,avid_debbink,Debbink,"0.0355 (0, 0.213)"
2004,avid_debbink,Debbink,"0.0298 (0, 0.191)"
2005,avid_debbink,Debbink,"0.146 (0, 0.338)"
2006,avid_debbink,Debbink,"0.282 (0.109, 0.4)"
2007,avid_debbink,Debbink,"0.185 (0.024, 0.306)"
2008,avid_debbink,Debbink,"0.0513 (0, 0.213)"
2009,avid_debbink,Debbink,"0.214 (0.0267, 0.335)"
2010,avid_debbink,Debbink,"0.119 (0, 0.332)"
2011,avid_debbink,Debbink,"0.151 (0, 0.313)"
2012,avid_debbink,Debbink,"0.0238 (0, 0.167)"
2001,avid_kendra,Kendra,"0.0952 (0, 0.429)"
2002,avid_kendra,Kendra,"0.027 (0, 0.176)"
2003,avid_kendra,Kendra,"0.00709 (0, 0.0922)"
2004,avid_kendra,Kendra,"0.0128 (0, 0.0974)"
2005,avid_kendra,Kendra,"0.198 (0.0962, 0.286)"
2006,avid_kendra,Kendra,"0.324 (0.227, 0.411)"
2007,avid_kendra,Kendra,"0.26 (0.168, 0.345)"
2008,avid_kendra,Kendra,"0.0572 (0, 0.167)"
2009,avid_kendra,Kendra,"0.0388 (0, 0.179)"
2010,avid_kendra,Kendra,"0.173 (0, 0.339)"
2011,avid_kendra,Kendra,"0.156 (0, 0.341)"
2012,avid_kendra,Kendra,"0.0238 (0, 0.167)"
2001,both_kendra,Kendra,"0.381 (0, 0.619)"
2002,both_kendra,Kendra,"0.0405 (0, 0.257)"
2003,both_kendra,Kendra,"0.206 (0.0433, 0.333)"
2004,both_kendra,Kendra,"0.255 (0.183, 0.336)"
2005,both_kendra,Kendra,"0.137 (0.0729, 0.201)"
2006,both_kendra,Kendra,"0.0422 (0.0244, 0.0709)"
2007,both_kendra,Kendra,"0.21 (0.168, 0.251)"
2008,both_kendra,Kendra,"0.191 (0.146, 0.24)"
2009,both_kendra,Kendra,"0.299 (0.243, 0.352)"
2010,both_kendra,Kendra,"0.199 (0.123, 0.271)"
2011,both_kendra,Kendra,"0.095 (0.0391, 0.179)"
2012,both_kendra,Kendra,"0.0238 (0, 0.0952)"
2001,both_real,Debbink,"0.238 (0, 0.571)"
2002,both_real,Debbink,"0.365 (0.203, 0.5)"
2003,both_real,Debbink,"0.191 (0.0213, 0.312)"
2004,both_real,Debbink,"0.23 (0.132, 0.328)"
2005,both_real,Debbink,"0.0671 (0.0117, 0.143)"
2006,both_real,Debbink,"0.1 (0.0513, 0.162)"
2007,both_real,Debbink,"0.166 (0.122, 0.214)"
2008,both_real,Debbink,"0.17 (0.12, 0.219)"
2009,both_real,Debbink,"0.279 (0.226, 0.325)"
2010,both_real,Debbink,"0.191 (0.109, 0.26)"
2011,both_real,Debbink,"0.128 (0.0615, 0.212)"
2012,both_real,Debbink,"0.0476 (0, 0.167)"
2001,ic50_kendra,Kendra,"0.333 (0, 0.619)"
2002,ic50_kendra,Kendra,"0.0135 (0, 0.189)"
2003,ic50_kendra,Kendra,"0.213 (0.0355, 0.34)"
2004,ic50_kendra,Kendra,"0.268 (0.187, 0.349)"
2005,ic50_kendra,Kendra,"0.224 (0.0233, 0.399)"
2006,ic50_kendra,Kendra,"0.0267 (0.0133, 0.0467)"
2007,ic50_kendra,Kendra,"0.21 (0.17, 0.247)"
2008,ic50_kendra,Kendra,"0.176 (0.134, 0.225)"
2009,ic50_kendra,Kendra,"0.308 (0.255, 0.357)"
2010,ic50_kendra,Kendra,"0.177 (0.0975, 0.256)"
2011,ic50_kendra,Kendra,"0.117 (0.0447, 0.201)"
2012,ic50_kendra,Kendra,"0 (0, 0.0714)"
2001,ic50_real,Debbink,"0.286 (0, 0.614)"
2002,ic50_real,Debbink,"0.311 (0.123, 0.459)"
2003,ic50_real,Debbink,"0.191 (0.0426, 0.326)"
2004,ic50_real,Debbink,"0.234 (0.14, 0.319)"
2005,ic50_real,Debbink,"0.0408 (0, 0.137)"
2006,ic50_real,Debbink,"0.0711 (0.0311, 0.124)"
2007,ic50_real,Debbink,"0.153 (0.109, 0.197)"
2008,ic50_real,Debbink,"0.152 (0.107, 0.199)"
2009,ic50_real,Debbink,"0.286 (0.233, 0.337)"
2010,ic50_real,Debbink,"0.162 (0.0798, 0.238)"
2011,ic50_real,Debbink,"0.156 (0.0782, 0.24)"
2012,ic50_real,Debbink,"0.0238 (0, 0.119)"
