samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
289292,1,boost_short,1.992130467336126,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
943139,1,boost_short,2.356816890919546,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
192394,2,boost_short,1.792144680045944,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
422279,1,boost_short,1.9095923062346272,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
925436,1,boost_short,1.8039227303308507,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
201687,1,boost_short,1.697133899289922,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
60645,2,boost_short,2.013475822508642,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
494237,2,boost_short,2.338884291916094,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
537007,1,boost_short,1.9909398097951487,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
278160,2,boost_short,2.3018252365322946,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
914913,2,boost_short,2.4019276199814827,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
390693,1,boost_short,2.1991226766152856,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
677178,1,boost_short,1.7839114451999691,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
854972,1,boost_short,1.7495060474779491,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
316813,1,boost_short,1.8297813011933488,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
982021,1,boost_short,1.9977384993716263,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
382188,1,boost_short,1.8225317797261462,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
42533,1,boost_short,2.065107969532005,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
890235,1,boost_short,1.6461994365785895,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
850565,1,boost_short,1.7402551625312677,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
789733,1,boost_short,2.336977145271508,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
140495,1,boost_short,2.1227314770078567,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
318264,2,boost_short,1.7558346002500176,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
623778,1,boost_short,1.9523906616154536,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
628579,1,boost_short,1.8258971911013677,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
974957,2,boost_short,1.897622067676172,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
878091,2,boost_short,2.1718861189817544,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
702801,1,boost_short,1.7692307935220353,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
159131,1,boost_short,2.084435590184233,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
634730,2,boost_short,2.0754540847163474,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
164334,1,boost_short,1.9449959990706458,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
908817,1,boost_short,1.6415720228395594,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
288763,2,boost_short,1.694722298500737,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
764927,1,boost_short,2.1068465112468364,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
347580,2,boost_short,2.1705860186221577,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
359366,2,boost_short,2.189623034810238,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
219011,1,boost_short,2.2003398554604963,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
482835,2,boost_short,2.2630043284748136,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
608792,1,boost_short,1.771901127677786,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
504146,1,boost_short,2.2366661404665296,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
981017,1,boost_short,2.322823702599324,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
708944,1,boost_short,1.813697358143633,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
134778,2,boost_short,2.0090858051534366,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
926561,1,boost_short,1.9647327744538374,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
51309,2,boost_short,2.0707110804631674,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
89462,1,boost_short,2.1263727228007316,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
131686,1,boost_short,2.2719455066171363,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
57263,1,boost_short,1.9722041756883104,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
87473,1,boost_short,1.8318056760143235,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
646548,2,boost_short,1.7106600886153693,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
705572,1,boost_short,1.6333594771474556,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
536706,1,boost_short,2.182814950626807,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
724653,1,boost_short,1.7236862539842788,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
274872,1,boost_short,1.659441972460054,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
765530,1,boost_short,2.172116436792833,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
4971,2,boost_short,1.6590048120817844,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
951593,2,boost_short,1.8139405938018234,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
117898,1,boost_short,2.231754461618738,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
386927,1,boost_short,1.9639132922086053,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
315535,1,boost_short,1.9888260081904465,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
678867,2,boost_short,2.0801156253669926,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
131431,2,boost_short,1.9740310397785021,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
11669,2,boost_short,2.381856720501921,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
338511,2,boost_short,1.9922953402337211,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
802057,1,boost_short,1.9620399875768522,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
583502,2,boost_short,1.7693188972404241,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
463474,1,boost_short,1.8341912077641433,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
229888,1,boost_short,1.8642976533998423,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
569477,2,boost_short,1.8640480296126078,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
611147,1,boost_short,2.2557327010992383,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
441323,1,boost_short,2.1470539827696817,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
266215,2,boost_short,1.8868318302610574,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
461896,1,boost_short,2.3448722891419624,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
384288,1,boost_short,1.7253567694839187,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
669635,1,boost_short,2.111272112195866,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
972483,1,boost_short,1.985063989334162,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
798876,2,boost_short,2.3763109122323542,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
551301,1,boost_short,2.3723648774893165,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
858942,2,boost_short,2.121241207290863,Transient boost,Avidity,"Transient boost
(Avidity)",1.81439694754833,2.18649549409042
