population_group,time,samp_no,chain_no,V1,taken,n_alive,run_name,map
1,2001,301001,1,0,No,21,avid_kendra,kendra
1,2001,301001,2,0,No,21,avid_kendra,kendra
1,2001,301001,3,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,301001,4,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,301001,5,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,304501,1,0.38095238095238093,No,21,avid_kendra,kendra
1,2001,304501,2,0.5714285714285714,No,21,avid_kendra,kendra
1,2001,304501,3,0,No,21,avid_kendra,kendra
1,2001,304501,4,0,No,21,avid_kendra,kendra
1,2001,304501,5,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,308001,1,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,308001,2,0,No,21,avid_kendra,kendra
1,2001,308001,3,0,No,21,avid_kendra,kendra
1,2001,308001,4,0.47619047619047616,No,21,avid_kendra,kendra
1,2001,308001,5,0.19047619047619047,No,21,avid_kendra,kendra
1,2001,311501,1,0.2857142857142857,No,21,avid_kendra,kendra
1,2001,311501,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,311501,3,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,311501,4,0,No,21,avid_kendra,kendra
1,2001,311501,5,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,315001,1,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,315001,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,315001,3,0,No,21,avid_kendra,kendra
1,2001,315001,4,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,315001,5,0.19047619047619047,No,21,avid_kendra,kendra
1,2001,318501,1,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,318501,2,0,No,21,avid_kendra,kendra
1,2001,318501,3,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,318501,4,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,318501,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,322001,1,0,No,21,avid_kendra,kendra
1,2001,322001,2,0,No,21,avid_kendra,kendra
1,2001,322001,3,0,No,21,avid_kendra,kendra
1,2001,322001,4,0,No,21,avid_kendra,kendra
1,2001,322001,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,325501,1,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,325501,2,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,325501,3,0.19047619047619047,No,21,avid_kendra,kendra
1,2001,325501,4,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,325501,5,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,329001,1,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,329001,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,329001,3,0,No,21,avid_kendra,kendra
1,2001,329001,4,0,No,21,avid_kendra,kendra
1,2001,329001,5,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,332501,1,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,332501,2,0,No,21,avid_kendra,kendra
1,2001,332501,3,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,332501,4,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,332501,5,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,336001,1,0.19047619047619047,No,21,avid_kendra,kendra
1,2001,336001,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,336001,3,0.2857142857142857,No,21,avid_kendra,kendra
1,2001,336001,4,0,No,21,avid_kendra,kendra
1,2001,336001,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,339501,1,0,No,21,avid_kendra,kendra
1,2001,339501,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,339501,3,0,No,21,avid_kendra,kendra
1,2001,339501,4,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,339501,5,0,No,21,avid_kendra,kendra
1,2001,343001,1,0,No,21,avid_kendra,kendra
1,2001,343001,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,343001,3,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,343001,4,0,No,21,avid_kendra,kendra
1,2001,343001,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,346501,1,0.19047619047619047,No,21,avid_kendra,kendra
1,2001,346501,2,0,No,21,avid_kendra,kendra
1,2001,346501,3,0,No,21,avid_kendra,kendra
1,2001,346501,4,0,No,21,avid_kendra,kendra
1,2001,346501,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,350001,1,0,No,21,avid_kendra,kendra
1,2001,350001,2,0,No,21,avid_kendra,kendra
1,2001,350001,3,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,350001,4,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,350001,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,353501,1,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,353501,2,0,No,21,avid_kendra,kendra
1,2001,353501,3,0,No,21,avid_kendra,kendra
1,2001,353501,4,0,No,21,avid_kendra,kendra
1,2001,353501,5,0,No,21,avid_kendra,kendra
1,2001,357001,1,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,357001,2,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,357001,3,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,357001,4,0.38095238095238093,No,21,avid_kendra,kendra
1,2001,357001,5,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,360501,1,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,360501,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,360501,3,0,No,21,avid_kendra,kendra
1,2001,360501,4,0.42857142857142855,No,21,avid_kendra,kendra
1,2001,360501,5,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,364001,1,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,364001,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,364001,3,0,No,21,avid_kendra,kendra
1,2001,364001,4,0,No,21,avid_kendra,kendra
1,2001,364001,5,0,No,21,avid_kendra,kendra
1,2001,367501,1,0,No,21,avid_kendra,kendra
1,2001,367501,2,0.2857142857142857,No,21,avid_kendra,kendra
1,2001,367501,3,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,367501,4,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,367501,5,0.38095238095238093,No,21,avid_kendra,kendra
1,2001,371001,1,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,371001,2,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,371001,3,0,No,21,avid_kendra,kendra
1,2001,371001,4,0,No,21,avid_kendra,kendra
1,2001,371001,5,0.42857142857142855,No,21,avid_kendra,kendra
1,2001,374501,1,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,374501,2,0,No,21,avid_kendra,kendra
1,2001,374501,3,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,374501,4,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,374501,5,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,378001,1,0.19047619047619047,No,21,avid_kendra,kendra
1,2001,378001,2,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,378001,3,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,378001,4,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,378001,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,381501,1,0,No,21,avid_kendra,kendra
1,2001,381501,2,0,No,21,avid_kendra,kendra
1,2001,381501,3,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,381501,4,0.3333333333333333,No,21,avid_kendra,kendra
1,2001,381501,5,0.38095238095238093,No,21,avid_kendra,kendra
1,2001,385001,1,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,385001,2,0,No,21,avid_kendra,kendra
1,2001,385001,3,0,No,21,avid_kendra,kendra
1,2001,385001,4,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,385001,5,0.42857142857142855,No,21,avid_kendra,kendra
1,2001,388501,1,0.23809523809523808,No,21,avid_kendra,kendra
1,2001,388501,2,0,No,21,avid_kendra,kendra
1,2001,388501,3,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,388501,4,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,388501,5,0,No,21,avid_kendra,kendra
1,2001,392001,1,0,No,21,avid_kendra,kendra
1,2001,392001,2,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,392001,3,0.5714285714285714,No,21,avid_kendra,kendra
1,2001,392001,4,0,No,21,avid_kendra,kendra
1,2001,392001,5,0.047619047619047616,No,21,avid_kendra,kendra
1,2001,395501,1,0.09523809523809523,No,21,avid_kendra,kendra
1,2001,395501,2,0.14285714285714285,No,21,avid_kendra,kendra
1,2001,395501,3,0,No,21,avid_kendra,kendra
1,2001,395501,4,0.2857142857142857,No,21,avid_kendra,kendra
