samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
168113,1,boost_short,1.899273802615574,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
513935,1,boost_short,1.7904912883890876,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
55434,1,boost_short,2.1485501948010097,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
381225,2,boost_short,2.5189454623686944,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
131980,2,boost_short,1.8634777637069704,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
5476,1,boost_short,2.2926854492802056,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
53512,1,boost_short,1.8095109597237913,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
47226,2,boost_short,1.832722607512676,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
195385,1,boost_short,2.125192726046314,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
948866,1,boost_short,2.086287990796786,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
338021,2,boost_short,2.5693647900883128,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
752054,1,boost_short,2.575042295293161,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
551242,1,boost_short,2.026544678632476,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
202920,1,boost_short,1.8363246240099338,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
492199,2,boost_short,2.2883093625858355,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
495336,1,boost_short,1.969328061040337,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
301372,2,boost_short,2.466907393407338,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
920395,2,boost_short,2.6495039400960922,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
869196,1,boost_short,2.076906660112976,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
226283,1,boost_short,1.8721967132151776,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
995210,1,boost_short,2.2488241038448,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
80766,2,boost_short,1.8595372471372618,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
792508,1,boost_short,2.182575608680039,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
222587,2,boost_short,1.9815352776957122,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
57063,1,boost_short,2.6070531044942427,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
366062,1,boost_short,2.382457044304813,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
778531,2,boost_short,1.932260001381277,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
236160,2,boost_short,2.603435743680396,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
730575,1,boost_short,1.8372587043282709,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
99672,1,boost_short,2.308088270952827,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
665101,2,boost_short,2.1269452598218104,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
304471,1,boost_short,2.3412757114937124,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
356018,1,boost_short,2.3924166899920083,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
459004,2,boost_short,1.9097577038287943,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
462407,2,boost_short,2.5687967344876834,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
875956,1,boost_short,1.8494081458614253,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
844967,1,boost_short,1.805445829324219,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
749512,1,boost_short,2.2890034834389703,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
132654,2,boost_short,2.0262038648282124,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
113251,1,boost_short,1.9224455322876974,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
259541,2,boost_short,2.5193753380609882,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
377752,1,boost_short,2.1605483646180086,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
19577,1,boost_short,1.8375535275762378,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
160620,2,boost_short,2.0594983504218187,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
312887,1,boost_short,1.841451414227964,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
333184,1,boost_short,2.2655720303818474,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
553275,1,boost_short,2.1985738648892577,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
147610,1,boost_short,2.469328615953035,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
682255,2,boost_short,2.1659328885218274,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
248793,1,boost_short,1.8737318796077622,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
152274,1,boost_short,2.2730279436265564,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
4651,2,boost_short,1.9380500027257224,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
246784,1,boost_short,1.9436405769427227,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
80542,1,boost_short,2.547115526458678,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
325748,1,boost_short,2.5910250808937128,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
183173,1,boost_short,1.871642330090586,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
530586,2,boost_short,2.6013527997845007,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
844427,1,boost_short,2.1462007217047128,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
707858,1,boost_short,2.155162818059643,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
430612,1,boost_short,2.5499260993411026,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
969068,2,boost_short,1.818011824817836,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
127078,2,boost_short,2.2306607586344818,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
105690,1,boost_short,1.8813450427726366,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
663531,1,boost_short,2.289637046468281,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
15787,1,boost_short,2.4283254151200624,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
840462,1,boost_short,2.5975073950147043,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
362035,2,boost_short,2.1732197834152847,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
563671,1,boost_short,1.9622764865523685,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
585839,2,boost_short,2.130302916432856,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
654392,1,boost_short,2.033208877316601,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
878987,1,boost_short,2.3934175492032095,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
581391,1,boost_short,1.8669749003727025,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
508031,2,boost_short,2.1163331815293565,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
50451,2,boost_short,2.1490548047301394,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
975431,2,boost_short,2.6485029043953694,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
885740,1,boost_short,2.6300355779506455,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
167663,1,boost_short,2.498959207539562,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
662957,1,boost_short,1.7824077526691768,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
607690,2,boost_short,1.7806567762721108,Transient boost,Avidity,"Transient boost
(Avidity)",1.97603952041368,2.40941542355249
