age,samp_no,chain_no,j,ar,N
0,301001,1,2001,0.47619047619047616,21
0,301001,1,2002,0.018867924528301886,53
0,301001,1,2003,0.3880597014925373,67
0,301001,1,2004,0.39361702127659576,94
0,301001,1,2005,0.26851851851851855,108
0,301001,1,2006,0.028037383177570093,107
0,301001,1,2007,0.11956521739130435,92
0,301001,1,2008,0.015151515151515152,66
0,301001,1,2009,0.37142857142857144,35
0,301001,1,2010,0,10
0,301001,1,2011,0,3
0,301001,2,2001,0.38095238095238093,21
0,301001,2,2002,0.2830188679245283,53
0,301001,2,2003,0.14925373134328357,67
0,301001,2,2004,0.3723404255319149,94
0,301001,2,2005,0.2777777777777778,108
0,301001,2,2006,0.04672897196261682,107
0,301001,2,2007,0.09782608695652174,92
0,301001,2,2008,0,66
0,301001,2,2009,0.34285714285714286,35
0,301001,2,2010,0,10
0,301001,2,2011,0,3
0,301001,3,2001,0.47619047619047616,21
0,301001,3,2002,0,53
0,301001,3,2003,0.208955223880597,67
0,301001,3,2004,0.3723404255319149,94
0,301001,3,2005,0.3055555555555556,108
0,301001,3,2006,0.06542056074766354,107
0,301001,3,2007,0.08695652173913043,92
0,301001,3,2008,0.07575757575757576,66
0,301001,3,2009,0.37142857142857144,35
0,301001,3,2010,0,10
0,301001,3,2011,0,3
0,301001,4,2001,0.47619047619047616,21
0,301001,4,2002,0.05660377358490566,53
0,301001,4,2003,0.34328358208955223,67
0,301001,4,2004,0.44680851063829785,94
0,301001,4,2005,0.4351851851851852,108
0,301001,4,2006,0.037383177570093455,107
0,301001,4,2007,0.11956521739130435,92
0,301001,4,2008,0.015151515151515152,66
0,301001,4,2009,0.37142857142857144,35
0,301001,4,2010,0,10
0,301001,4,2011,0,3
0,301001,5,2001,0.09523809523809523,21
0,301001,5,2002,0,53
0,301001,5,2003,0.1044776119402985,67
0,301001,5,2004,0.2127659574468085,94
0,301001,5,2005,0.37962962962962965,108
0,301001,5,2006,0.037383177570093455,107
0,301001,5,2007,0.06521739130434782,92
0,301001,5,2008,0.06060606060606061,66
0,301001,5,2009,0.3142857142857143,35
0,301001,5,2010,0,10
0,301001,5,2011,0,3
0,304501,1,2001,0.5238095238095238,21
0,304501,1,2002,0.018867924528301886,53
0,304501,1,2003,0.29850746268656714,67
0,304501,1,2004,0.2765957446808511,94
0,304501,1,2005,0.06481481481481481,108
0,304501,1,2006,0.04672897196261682,107
0,304501,1,2007,0.16304347826086957,92
0,304501,1,2008,0.015151515151515152,66
0,304501,1,2009,0.3142857142857143,35
0,304501,1,2010,0,10
0,304501,1,2011,0,3
0,304501,2,2001,0,21
0,304501,2,2002,0.03773584905660377,53
0,304501,2,2003,0.44776119402985076,67
0,304501,2,2004,0.39361702127659576,94
0,304501,2,2005,0.26851851851851855,108
0,304501,2,2006,0.06542056074766354,107
0,304501,2,2007,0.11956521739130435,92
0,304501,2,2008,0.09090909090909091,66
0,304501,2,2009,0.34285714285714286,35
0,304501,2,2010,0,10
0,304501,2,2011,0,3
0,304501,3,2001,0.5714285714285714,21
0,304501,3,2002,0,53
0,304501,3,2003,0.04477611940298507,67
0,304501,3,2004,0.24468085106382978,94
0,304501,3,2005,0.2037037037037037,108
0,304501,3,2006,0.028037383177570093,107
0,304501,3,2007,0.13043478260869565,92
0,304501,3,2008,0,66
0,304501,3,2009,0.3142857142857143,35
0,304501,3,2010,0,10
0,304501,3,2011,0,3
0,304501,4,2001,0.5714285714285714,21
0,304501,4,2002,0,53
0,304501,4,2003,0.2537313432835821,67
0,304501,4,2004,0.3404255319148936,94
0,304501,4,2005,0.12962962962962962,108
0,304501,4,2006,0.06542056074766354,107
0,304501,4,2007,0.09782608695652174,92
0,304501,4,2008,0.06060606060606061,66
0,304501,4,2009,0.2857142857142857,35
0,304501,4,2010,0,10
0,304501,4,2011,0,3
0,304501,5,2001,0.5714285714285714,21
0,304501,5,2002,0,53
0,304501,5,2003,0.029850746268656716,67
0,304501,5,2004,0.30851063829787234,94
0,304501,5,2005,0.37037037037037035,108
0,304501,5,2006,0.04672897196261682,107
0,304501,5,2007,0.14130434782608695,92
0,304501,5,2008,0.015151515151515152,66
0,304501,5,2009,0.2571428571428571,35
0,304501,5,2010,0,10
0,304501,5,2011,0,3
0,308001,1,2001,0.3333333333333333,21
0,308001,1,2002,0.07547169811320754,53
0,308001,1,2003,0.3582089552238806,67
0,308001,1,2004,0.2978723404255319,94
