age,samp_no,chain_no,j,ar,N
0,20001,1,2001,0.42857142857142855,21
0,20001,1,2002,0.2830188679245283,53
0,20001,1,2003,0.22388059701492538,67
0,20001,1,2004,0.30851063829787234,94
0,20001,1,2005,0.018518518518518517,108
0,20001,1,2006,0.08411214953271028,107
0,20001,1,2007,0.2391304347826087,92
0,20001,1,2008,0.07575757575757576,66
0,20001,1,2009,0.34285714285714286,35
0,20001,1,2010,0,10
0,20001,1,2011,0,3
0,20001,2,2001,0.38095238095238093,21
0,20001,2,2002,0.3018867924528302,53
0,20001,2,2003,0.14925373134328357,67
0,20001,2,2004,0.2553191489361702,94
0,20001,2,2005,0.09259259259259259,108
0,20001,2,2006,0.06542056074766354,107
0,20001,2,2007,0.1956521739130435,92
0,20001,2,2008,0.10606060606060606,66
0,20001,2,2009,0.4,35
0,20001,2,2010,0,10
0,20001,2,2011,0,3
0,20001,3,2001,0,21
0,20001,3,2002,0.3018867924528302,53
0,20001,3,2003,0.23880597014925373,67
0,20001,3,2004,0.24468085106382978,94
0,20001,3,2005,0,108
0,20001,3,2006,0.08411214953271028,107
0,20001,3,2007,0.16304347826086957,92
0,20001,3,2008,0.13636363636363635,66
0,20001,3,2009,0.2571428571428571,35
0,20001,3,2010,0,10
0,20001,3,2011,0,3
0,20001,4,2001,0.47619047619047616,21
0,20001,4,2002,0.18867924528301888,53
0,20001,4,2003,0.31343283582089554,67
0,20001,4,2004,0.3191489361702128,94
0,20001,4,2005,0.046296296296296294,108
0,20001,4,2006,0.07476635514018691,107
0,20001,4,2007,0.13043478260869565,92
0,20001,4,2008,0.12121212121212122,66
0,20001,4,2009,0.34285714285714286,35
0,20001,4,2010,0,10
0,20001,4,2011,0,3
0,20001,5,2001,0.2857142857142857,21
0,20001,5,2002,0.3018867924528302,53
0,20001,5,2003,0.029850746268656716,67
0,20001,5,2004,0.2553191489361702,94
0,20001,5,2005,0.06481481481481481,108
0,20001,5,2006,0.037383177570093455,107
0,20001,5,2007,0.15217391304347827,92
0,20001,5,2008,0.15151515151515152,66
0,20001,5,2009,0.34285714285714286,35
