sample_time,biomarker_id,mean_titre1,lower,upper,strain
2001,2002,0,0,0,FY-2002
2001,2006,0,0,0,DH-2006
2001,2009,0,0,0,NO-2009
2001,2012,0,0,0,SY-2012
2002,2002,0.03492914185415307,0,0.0735966451395279,FY-2002
2002,2006,0.02382226438543224,0,0.05081759806997606,DH-2006
2002,2009,0.02376713636480017,0,0.0507039524563313,NO-2009
2002,2012,0.022783324647840945,0,0.048675838894435323,SY-2012
2003,2002,0.1749631439935928,0.09612213268256638,0.24084159744835154,FY-2002
2003,2006,0.11694063347452024,0.060331306015208176,0.1623622473154981,DH-2006
2003,2009,0.11731082681831065,0.060425223759741485,0.16292110181470376,NO-2009
2003,2012,0.11235639429189083,0.05733132321891004,0.15645719438301278,SY-2012
2004,2002,0.2791044305277427,0.16524471747946679,0.3797917810261334,FY-2002
2004,2006,0.2090677524004178,0.10766699107996576,0.29842971296017484,DH-2006
2004,2009,0.2094233195169129,0.10797966844861091,0.29892602666389634,NO-2009
2004,2012,0.1996230587000435,0.10185960602618532,0.28499299207269463,SY-2012
2005,2002,0.5214983458451059,0.4187709942012933,0.609945528407202,FY-2002
2005,2006,0.46144385745183203,0.36321693874931205,0.5590491013246938,DH-2006
2005,2009,0.45749058744614957,0.3602394368922512,0.5533044788755597,NO-2009
2005,2012,0.43582307714843227,0.34234903457041876,0.5289114726590278,SY-2012
2006,2002,0.4944915031997268,0.3762033209468692,0.6459913580511529,FY-2002
2006,2006,0.4530123404464759,0.3184371220050576,0.6242795786104215,DH-2006
2006,2009,0.4431014580852522,0.3144121332891781,0.6058472143859658,NO-2009
2006,2012,0.41823278273221526,0.2926688396256358,0.5726090471905353,SY-2012
2007,2002,0.5961091547353227,0.49446728306018034,0.7081615021452063,FY-2002
2007,2006,0.6165139048999896,0.49143651981129693,0.7707482769897779,DH-2006
2007,2009,0.5859509478072678,0.4695088304190232,0.7257868170988331,NO-2009
2007,2012,0.5545655590596112,0.44121622373406744,0.6894039600466203,SY-2012
2008,2002,0.8967244893766809,0.7885474376405609,1.0119456075191615,FY-2002
2008,2006,1.050055864901054,0.9185463372175209,1.1939041140901845,DH-2006
2008,2009,1.0239144149125388,0.8949979934590503,1.1568846426295756,NO-2009
2008,2012,0.9756725814715534,0.8502962716886777,1.1060319491635737,SY-2012
2009,2002,1.0820771556249273,0.967480935229131,1.2037463149127012,FY-2002
2009,2006,1.341190714498065,1.1895453465940904,1.4922242623767843,DH-2006
2009,2009,1.3416387507462892,1.1912253100682242,1.5003707766786776,NO-2009
2009,2012,1.277561312192708,1.1336563704904994,1.431616513123182,SY-2012
2010,2002,1.4317514967402225,1.3176650904564773,1.5299491415525566,FY-2002
2010,2006,1.8341450879343246,1.7166078172387271,1.944171667305152,DH-2006
2010,2009,1.9086237650620481,1.7849049801848926,2.018197287713714,NO-2009
2010,2012,1.8177693607244696,1.6944265244492007,1.9264935207574196,SY-2012
2011,2002,1.4021733668931802,1.295343063525386,1.5229770677509769,FY-2002
2011,2006,1.8455774642923357,1.7345372263201246,1.973759359077107,DH-2006
2011,2009,1.9433581013854233,1.8255933584979565,2.0646987789165285,NO-2009
2011,2012,1.851731769468229,1.739834703519976,1.9725058249891236,SY-2012
2012,2002,1.4301878650876125,1.318194962551824,1.532962272950147,FY-2002
2012,2006,1.9025378677972107,1.795110390270493,1.9821748323938446,DH-2006
2012,2009,2.016549767897085,1.9152658470422776,2.1003906174129408,NO-2009
2012,2012,1.9258444777183323,1.8236370973933949,2.0052867899818683,SY-2012
2001,2001,0,0,0,"Matched to 
circulating virus"
2002,2002,0.03492914185415307,0,0.0735966451395279,"Matched to 
circulating virus"
2003,2003,0.15353199890482286,0.0829497756878968,0.2119337921275793,"Matched to 
circulating virus"
2004,2004,0.25872693841133787,0.13956444058526596,0.3654798007627942,"Matched to 
circulating virus"
2005,2005,0.4999572071111592,0.39219734760565,0.6026374356638482,"Matched to 
circulating virus"
2006,2006,0.4530123404464759,0.3184371220050576,0.6242795786104215,"Matched to 
circulating virus"
2007,2007,0.6008619519938393,0.4803418908151103,0.7471233441344753,"Matched to 
circulating virus"
2008,2008,1.0453449035701254,0.9146561821868133,1.1817271722380711,"Matched to 
circulating virus"
2009,2009,1.3416387507462892,1.1912253100682242,1.5003707766786776,"Matched to 
circulating virus"
2010,2010,1.8670467864460771,1.7428516469097644,1.9780648877282991,"Matched to 
circulating virus"
2011,2011,1.890882119347033,1.7721640609672888,2.0140336158851353,"Matched to 
circulating virus"
2012,2012,1.9258444777183323,1.8236370973933949,2.0052867899818683,"Matched to 
circulating virus"
