samp_no,chain_no,names_new,est,names,values,biomarker_group,biomarker_group_label,run_name,map,name_key,label
301001,1,boost_long,3.2023419121279,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,1,boost_short,2.30729470554303,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,1,antigenic_seniority,0.143643913333421,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,1,wane_short,0.501753778621865,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,1,cr_long,0.0631750914781183,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,1,cr_short,0.00938125545276201,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,1,obs_sd,1.19263379305747,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,2,boost_long,3.21916997443364,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,2,boost_short,2.41120918360246,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,2,antigenic_seniority,0.203522530352463,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,2,wane_short,0.535886611953717,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,2,cr_long,0.0656750475908316,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,2,cr_short,0.00216473607926088,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,2,obs_sd,1.15226413499112,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,3,boost_long,3.3023764716818,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,3,boost_short,2.5162903955503,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,3,antigenic_seniority,0.243008993093547,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,3,wane_short,0.470589837643098,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,3,cr_long,0.0708513449867182,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,3,cr_short,0.0022407520557075,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,3,obs_sd,1.15356013936395,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,4,boost_long,3.2695791774747,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,4,boost_short,2.42030154983981,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,4,antigenic_seniority,0.238674149654019,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,4,wane_short,0.48344008049066,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,4,cr_long,0.0678662187209176,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,4,cr_short,0.0243521401059434,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,4,obs_sd,1.14032039304193,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
301001,5,boost_long,3.2306772560732,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
301001,5,boost_short,2.55193027762916,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
301001,5,antigenic_seniority,0.21291934192698,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
301001,5,wane_short,0.480243917615762,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
301001,5,cr_long,0.0664225753456787,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
301001,5,cr_short,0.0142630907954492,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
301001,5,obs_sd,1.12202910305127,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
304501,1,boost_long,3.00681674823045,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
304501,1,boost_short,2.6187972492614,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
304501,1,antigenic_seniority,0.199720871270812,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
304501,1,wane_short,0.480649983651341,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
304501,1,cr_long,0.0560487030610391,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
304501,1,cr_short,0.0474612294386647,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
304501,1,obs_sd,1.12714468471055,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
304501,2,boost_long,3.22656544572324,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
304501,2,boost_short,2.41934192854619,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
304501,2,antigenic_seniority,0.2287441816245,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
304501,2,wane_short,0.567018779563423,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
304501,2,cr_long,0.0664127953887949,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
304501,2,cr_short,0.0138688545152321,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
304501,2,obs_sd,1.11294477792695,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
304501,3,boost_long,3.20872157166638,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
304501,3,boost_short,2.45207540149181,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
304501,3,antigenic_seniority,0.192812908756675,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
304501,3,wane_short,0.538272416143966,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
304501,3,cr_long,0.0608149471095544,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
304501,3,cr_short,0.00955567923982553,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
304501,3,obs_sd,1.17090305598314,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
304501,4,boost_long,3.23197457591032,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
304501,4,boost_short,2.4585335813295,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
304501,4,antigenic_seniority,0.215991240553227,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
304501,4,wane_short,0.471530868111155,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
304501,4,cr_long,0.0639866444044264,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
304501,4,cr_short,0.0263087349400818,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
304501,4,obs_sd,1.13694044640236,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
304501,5,boost_long,3.20873025699777,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
304501,5,boost_short,2.35152266115009,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
304501,5,antigenic_seniority,0.174707605463308,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
304501,5,wane_short,0.541059308863608,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
304501,5,cr_long,0.0657478812330407,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
304501,5,cr_short,0.0105325294874838,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
304501,5,obs_sd,1.11978697925648,obs_sd,1,1,IC50,ic50_real,debbink,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
308001,1,boost_long,3.19972351475679,boost_long,1.5,1,IC50,ic50_real,debbink,Long-term boost,"Long-term boost
(IC50)"
308001,1,boost_short,2.32231375202163,boost_short,2,1,IC50,ic50_real,debbink,Transient boost,"Transient boost
(IC50)"
308001,1,antigenic_seniority,0.196274432467729,antigenic_seniority,0.05,1,IC50,ic50_real,debbink,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
308001,1,wane_short,0.58855554826486,wane_short,0.25,1,IC50,ic50_real,debbink,Transient waning rate,"Transient waning rate
(IC50)"
308001,1,cr_long,0.0727429075617608,cr_long,0.1,1,IC50,ic50_real,debbink,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
308001,1,cr_short,8.61343899928722e-4,cr_short,0.03,1,IC50,ic50_real,debbink,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
