Parameter,Data,Map,Avidity,IC50
Antigenic seniority parameter,avid_debbink,Debbink,"0.562 (0.313, 0.662)",NA
Observation error (standard deviation),avid_debbink,Debbink,"0.827 (0.798, 0.858)",NA
Transient boost,avid_debbink,Debbink,"2.08 (1.93, 2.28)",NA
Transient cross-reactivity gradient,avid_debbink,Debbink,"0.029 (0.00373, 0.0461)",NA
Transient waning rate,avid_debbink,Debbink,"0.0325 (0.000322, 0.192)",NA
Antigenic seniority parameter,avid_kendra,Kendra,"0.485 (0.14, 0.649)",NA
Observation error (standard deviation),avid_kendra,Kendra,"0.814 (0.783, 0.851)",NA
Transient boost,avid_kendra,Kendra,"2.2 (2.04, 2.33)",NA
Transient cross-reactivity gradient,avid_kendra,Kendra,"0.0375 (0.000106, 0.0558)",NA
Transient waning rate,avid_kendra,Kendra,"0.0732 (0.000124, 0.343)",NA
Antigenic seniority parameter,both_kendra,Kendra,"0.697 (0.474, 0.835)","0.241 (0.144, 0.469)"
Long-term boost,both_kendra,Kendra,NA,"3.08 (2.17, 3.68)"
Long-term cross-reactivity gradient,both_kendra,Kendra,NA,"0.0898 (0.0424, 0.114)"
Observation error (standard deviation),both_kendra,Kendra,"0.885 (0.845, 0.94)","1.1 (1.05, 1.19)"
Transient boost,both_kendra,Kendra,"1.86 (1.68, 2.03)","3.18 (2.44, 4.48)"
Transient cross-reactivity gradient,both_kendra,Kendra,"0.0161 (0.000997, 0.0345)","0.0464 (0.0013, 0.113)"
Transient waning rate,both_kendra,Kendra,"0.00965 (0.000309, 0.0665)","0.491 (0.375, 0.604)"
Antigenic seniority parameter,both_real,Debbink,"0.705 (0.471, 0.801)","0.255 (0.161, 0.476)"
Long-term boost,both_real,Debbink,NA,"2.4 (1.75, 2.89)"
Long-term cross-reactivity gradient,both_real,Debbink,NA,"0.0757 (0.0526, 0.0926)"
Observation error (standard deviation),both_real,Debbink,"0.883 (0.849, 0.923)","1.15 (1.1, 1.22)"
Transient boost,both_real,Debbink,"1.91 (1.82, 2.04)","3.37 (2.63, 4.47)"
Transient cross-reactivity gradient,both_real,Debbink,"0.0256 (0.0164, 0.0353)","0.0112 (0.000243, 0.0395)"
Transient waning rate,both_real,Debbink,"0.00705 (7.71e-05, 0.0685)","0.37 (0.23, 0.548)"
Antigenic seniority parameter,ic50_kendra,Kendra,NA,"0.207 (0.165, 0.249)"
Long-term boost,ic50_kendra,Kendra,NA,"3.37 (1.74, 3.95)"
Long-term cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.143 (0.107, 0.273)"
Observation error (standard deviation),ic50_kendra,Kendra,NA,"1.09 (1.04, 1.16)"
Transient boost,ic50_kendra,Kendra,NA,"2.71 (2.14, 4.04)"
Transient cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.00703 (0.000271, 0.0265)"
Transient waning rate,ic50_kendra,Kendra,NA,"0.464 (0.107, 0.639)"
Antigenic seniority parameter,ic50_real,Debbink,NA,"0.225 (0.171, 0.283)"
Long-term boost,ic50_real,Debbink,NA,"3.17 (2.98, 3.37)"
Long-term cross-reactivity gradient,ic50_real,Debbink,NA,"0.0672 (0.0582, 0.0751)"
Observation error (standard deviation),ic50_real,Debbink,NA,"1.13 (1.09, 1.18)"
Transient boost,ic50_real,Debbink,NA,"2.49 (2.2, 2.83)"
Transient cross-reactivity gradient,ic50_real,Debbink,NA,"0.0105 (0.000238, 0.038)"
Transient waning rate,ic50_real,Debbink,NA,"0.485 (0.334, 0.595)"
