population_group,time,samp_no,chain_no,V1,taken,n_alive,run_name,map
1,2001,20001,1,0.25,No,16,ic50_real,debbink
1,2001,20001,2,0.875,No,16,ic50_real,debbink
1,2001,20001,3,0.5,No,16,ic50_real,debbink
1,2001,20001,4,0.625,No,16,ic50_real,debbink
1,2001,20001,5,0.75,No,16,ic50_real,debbink
1,2001,20251,1,0.4375,No,16,ic50_real,debbink
1,2001,20251,2,0.8125,No,16,ic50_real,debbink
1,2001,20251,3,0.3125,No,16,ic50_real,debbink
1,2001,20251,4,0.625,No,16,ic50_real,debbink
1,2001,20251,5,0.5625,No,16,ic50_real,debbink
1,2001,20501,1,0.25,No,16,ic50_real,debbink
1,2001,20501,2,0.8125,No,16,ic50_real,debbink
1,2001,20501,3,0.6875,No,16,ic50_real,debbink
1,2001,20501,4,0.6875,No,16,ic50_real,debbink
1,2001,20501,5,0.375,No,16,ic50_real,debbink
1,2001,20751,1,0.375,No,16,ic50_real,debbink
1,2001,20751,2,0.875,No,16,ic50_real,debbink
1,2001,20751,3,0.6875,No,16,ic50_real,debbink
1,2001,20751,4,0.75,No,16,ic50_real,debbink
1,2001,20751,5,0.6875,No,16,ic50_real,debbink
1,2001,21001,1,0.0625,No,16,ic50_real,debbink
1,2001,21001,2,0.875,No,16,ic50_real,debbink
1,2001,21001,3,0.8125,No,16,ic50_real,debbink
1,2001,21001,4,0.5625,No,16,ic50_real,debbink
1,2001,21001,5,0.6875,No,16,ic50_real,debbink
1,2001,21251,1,0,No,16,ic50_real,debbink
1,2001,21251,2,0.875,No,16,ic50_real,debbink
1,2001,21251,3,0.625,No,16,ic50_real,debbink
1,2001,21251,4,0.25,No,16,ic50_real,debbink
1,2001,21251,5,0.75,No,16,ic50_real,debbink
1,2001,21501,1,0,No,16,ic50_real,debbink
1,2001,21501,2,0.875,No,16,ic50_real,debbink
1,2001,21501,3,0.75,No,16,ic50_real,debbink
1,2001,21501,4,0.75,No,16,ic50_real,debbink
1,2001,21501,5,0.5,No,16,ic50_real,debbink
1,2001,21751,1,0,No,16,ic50_real,debbink
1,2001,21751,2,0.8125,No,16,ic50_real,debbink
1,2001,21751,3,0.8125,No,16,ic50_real,debbink
1,2001,21751,4,0.6875,No,16,ic50_real,debbink
1,2001,21751,5,0.8125,No,16,ic50_real,debbink
1,2001,22001,1,0,No,16,ic50_real,debbink
1,2001,22001,2,0.75,No,16,ic50_real,debbink
1,2001,22001,3,0.75,No,16,ic50_real,debbink
1,2001,22001,4,0.875,No,16,ic50_real,debbink
1,2001,22001,5,0.875,No,16,ic50_real,debbink
1,2001,22251,1,0,No,16,ic50_real,debbink
1,2001,22251,2,0.75,No,16,ic50_real,debbink
1,2001,22251,3,0.5,No,16,ic50_real,debbink
1,2001,22251,4,0.875,No,16,ic50_real,debbink
1,2001,22251,5,0.6875,No,16,ic50_real,debbink
1,2001,22501,1,0,No,16,ic50_real,debbink
1,2001,22501,2,0.875,No,16,ic50_real,debbink
1,2001,22501,3,0.375,No,16,ic50_real,debbink
1,2001,22501,4,0.8125,No,16,ic50_real,debbink
1,2001,22501,5,0.75,No,16,ic50_real,debbink
1,2001,22751,1,0.0625,No,16,ic50_real,debbink
1,2001,22751,2,0.875,No,16,ic50_real,debbink
1,2001,22751,3,0.3125,No,16,ic50_real,debbink
1,2001,22751,4,0.8125,No,16,ic50_real,debbink
1,2001,22751,5,0.5,No,16,ic50_real,debbink
1,2001,23001,1,0,No,16,ic50_real,debbink
1,2001,23001,2,0.625,No,16,ic50_real,debbink
1,2001,23001,3,0.1875,No,16,ic50_real,debbink
1,2001,23001,4,0.75,No,16,ic50_real,debbink
1,2001,23001,5,0.5,No,16,ic50_real,debbink
1,2001,23251,1,0,No,16,ic50_real,debbink
1,2001,23251,2,0.75,No,16,ic50_real,debbink
1,2001,23251,3,0,No,16,ic50_real,debbink
1,2001,23251,4,0.875,No,16,ic50_real,debbink
1,2001,23251,5,0.5,No,16,ic50_real,debbink
1,2001,23501,1,0.0625,No,16,ic50_real,debbink
1,2001,23501,2,0.75,No,16,ic50_real,debbink
1,2001,23501,3,0.0625,No,16,ic50_real,debbink
1,2001,23501,4,0.8125,No,16,ic50_real,debbink
1,2001,23501,5,0.625,No,16,ic50_real,debbink
1,2001,23751,1,0,No,16,ic50_real,debbink
1,2001,23751,2,0.625,No,16,ic50_real,debbink
1,2001,23751,3,0,No,16,ic50_real,debbink
1,2001,23751,4,0.75,No,16,ic50_real,debbink
1,2001,23751,5,0.75,No,16,ic50_real,debbink
1,2001,24001,1,0.0625,No,16,ic50_real,debbink
1,2001,24001,2,0.375,No,16,ic50_real,debbink
1,2001,24001,3,0,No,16,ic50_real,debbink
1,2001,24001,4,0.6875,No,16,ic50_real,debbink
1,2001,24001,5,0.5625,No,16,ic50_real,debbink
1,2001,24251,1,0.0625,No,16,ic50_real,debbink
1,2001,24251,2,0.125,No,16,ic50_real,debbink
1,2001,24251,3,0.0625,No,16,ic50_real,debbink
1,2001,24251,4,0.75,No,16,ic50_real,debbink
1,2001,24251,5,0.8125,No,16,ic50_real,debbink
1,2001,24501,1,0,No,16,ic50_real,debbink
1,2001,24501,2,0.0625,No,16,ic50_real,debbink
1,2001,24501,3,0.3125,No,16,ic50_real,debbink
1,2001,24501,4,0.3125,No,16,ic50_real,debbink
1,2001,24501,5,0.6875,No,16,ic50_real,debbink
1,2001,24751,1,0,No,16,ic50_real,debbink
1,2001,24751,2,0.1875,No,16,ic50_real,debbink
1,2001,24751,3,0.4375,No,16,ic50_real,debbink
1,2001,24751,4,0.3125,No,16,ic50_real,debbink
1,2001,24751,5,0.6875,No,16,ic50_real,debbink
1,2001,25001,1,0.0625,No,16,ic50_real,debbink
1,2001,25001,2,0.5625,No,16,ic50_real,debbink
1,2001,25001,3,0.125,No,16,ic50_real,debbink
1,2001,25001,4,0.5625,No,16,ic50_real,debbink
1,2001,25001,5,0.625,No,16,ic50_real,debbink
1,2001,25251,1,0,No,16,ic50_real,debbink
1,2001,25251,2,0.75,No,16,ic50_real,debbink
1,2001,25251,3,0.25,No,16,ic50_real,debbink
1,2001,25251,4,0.25,No,16,ic50_real,debbink
1,2001,25251,5,0.5625,No,16,ic50_real,debbink
1,2001,25501,1,0.0625,No,16,ic50_real,debbink
1,2001,25501,2,0.6875,No,16,ic50_real,debbink
1,2001,25501,3,0.4375,No,16,ic50_real,debbink
1,2001,25501,4,0.5,No,16,ic50_real,debbink
1,2001,25501,5,0.375,No,16,ic50_real,debbink
1,2001,25751,1,0.0625,No,16,ic50_real,debbink
1,2001,25751,2,0.75,No,16,ic50_real,debbink
1,2001,25751,3,0.0625,No,16,ic50_real,debbink
1,2001,25751,4,0.625,No,16,ic50_real,debbink
1,2001,25751,5,0.4375,No,16,ic50_real,debbink
1,2001,26001,1,0.1875,No,16,ic50_real,debbink
1,2001,26001,2,0.5,No,16,ic50_real,debbink
1,2001,26001,3,0.5625,No,16,ic50_real,debbink
1,2001,26001,4,0.6875,No,16,ic50_real,debbink
1,2001,26001,5,0.6875,No,16,ic50_real,debbink
1,2001,26251,1,0.375,No,16,ic50_real,debbink
1,2001,26251,2,0.5,No,16,ic50_real,debbink
1,2001,26251,3,0.5,No,16,ic50_real,debbink
1,2001,26251,4,0.8125,No,16,ic50_real,debbink
1,2001,26251,5,0.75,No,16,ic50_real,debbink
1,2001,26501,1,0.1875,No,16,ic50_real,debbink
1,2001,26501,2,0.375,No,16,ic50_real,debbink
1,2001,26501,3,0.75,No,16,ic50_real,debbink
1,2001,26501,4,0.625,No,16,ic50_real,debbink
1,2001,26501,5,0.875,No,16,ic50_real,debbink
1,2001,26751,1,0.4375,No,16,ic50_real,debbink
1,2001,26751,2,0.4375,No,16,ic50_real,debbink
1,2001,26751,3,0.6875,No,16,ic50_real,debbink
1,2001,26751,4,0.6875,No,16,ic50_real,debbink
1,2001,26751,5,0.8125,No,16,ic50_real,debbink
1,2001,27001,1,0.6875,No,16,ic50_real,debbink
1,2001,27001,2,0.375,No,16,ic50_real,debbink
1,2001,27001,3,0.6875,No,16,ic50_real,debbink
1,2001,27001,4,0.5625,No,16,ic50_real,debbink
1,2001,27001,5,0.875,No,16,ic50_real,debbink
1,2001,27251,1,0.625,No,16,ic50_real,debbink
1,2001,27251,2,0.625,No,16,ic50_real,debbink
1,2001,27251,3,0.5625,No,16,ic50_real,debbink
1,2001,27251,4,0.75,No,16,ic50_real,debbink
1,2001,27251,5,0.8125,No,16,ic50_real,debbink
1,2001,27501,1,0.5,No,16,ic50_real,debbink
1,2001,27501,2,0.6875,No,16,ic50_real,debbink
1,2001,27501,3,0.6875,No,16,ic50_real,debbink
1,2001,27501,4,0.5625,No,16,ic50_real,debbink
1,2001,27501,5,0.625,No,16,ic50_real,debbink
1,2001,27751,1,0.3125,No,16,ic50_real,debbink
1,2001,27751,2,0.6875,No,16,ic50_real,debbink
1,2001,27751,3,0.75,No,16,ic50_real,debbink
1,2001,27751,4,0.5,No,16,ic50_real,debbink
1,2001,27751,5,0.75,No,16,ic50_real,debbink
1,2001,28001,1,0.125,No,16,ic50_real,debbink
1,2001,28001,2,0.625,No,16,ic50_real,debbink
1,2001,28001,3,0.6875,No,16,ic50_real,debbink
1,2001,28001,4,0.625,No,16,ic50_real,debbink
1,2001,28001,5,0.625,No,16,ic50_real,debbink
1,2001,28251,1,0.3125,No,16,ic50_real,debbink
1,2001,28251,2,0.1875,No,16,ic50_real,debbink
1,2001,28251,3,0.625,No,16,ic50_real,debbink
1,2001,28251,4,0.6875,No,16,ic50_real,debbink
1,2001,28251,5,0.6875,No,16,ic50_real,debbink
1,2001,28501,1,0.375,No,16,ic50_real,debbink
1,2001,28501,2,0.0625,No,16,ic50_real,debbink
1,2001,28501,3,0.4375,No,16,ic50_real,debbink
1,2001,28501,4,0.5625,No,16,ic50_real,debbink
1,2001,28501,5,0.5625,No,16,ic50_real,debbink
1,2001,28751,1,0.0625,No,16,ic50_real,debbink
1,2001,28751,2,0,No,16,ic50_real,debbink
1,2001,28751,3,0.875,No,16,ic50_real,debbink
1,2001,28751,4,0.0625,No,16,ic50_real,debbink
1,2001,28751,5,0.75,No,16,ic50_real,debbink
1,2001,29001,1,0.3125,No,16,ic50_real,debbink
1,2001,29001,2,0.0625,No,16,ic50_real,debbink
1,2001,29001,3,0.875,No,16,ic50_real,debbink
1,2001,29001,4,0.0625,No,16,ic50_real,debbink
1,2001,29001,5,0.625,No,16,ic50_real,debbink
1,2001,29251,1,0.3125,No,16,ic50_real,debbink
1,2001,29251,2,0.25,No,16,ic50_real,debbink
1,2001,29251,3,0.75,No,16,ic50_real,debbink
1,2001,29251,4,0.125,No,16,ic50_real,debbink
1,2001,29251,5,0.625,No,16,ic50_real,debbink
1,2001,29501,1,0.3125,No,16,ic50_real,debbink
1,2001,29501,2,0.25,No,16,ic50_real,debbink
1,2001,29501,3,0.75,No,16,ic50_real,debbink
1,2001,29501,4,0.4375,No,16,ic50_real,debbink
1,2001,29501,5,0.75,No,16,ic50_real,debbink
1,2001,29751,1,0.5,No,16,ic50_real,debbink
1,2001,29751,2,0.0625,No,16,ic50_real,debbink
1,2001,29751,3,0.75,No,16,ic50_real,debbink
1,2001,29751,4,0.625,No,16,ic50_real,debbink
1,2001,29751,5,0.8125,No,16,ic50_real,debbink
1,2001,30001,1,0.6875,No,16,ic50_real,debbink
1,2001,30001,2,0,No,16,ic50_real,debbink
1,2001,30001,3,0.625,No,16,ic50_real,debbink
1,2001,30001,4,0.8125,No,16,ic50_real,debbink
1,2001,30001,5,0.8125,No,16,ic50_real,debbink
1,2001,30251,1,0.75,No,16,ic50_real,debbink
1,2001,30251,2,0.1875,No,16,ic50_real,debbink
1,2001,30251,3,0.8125,No,16,ic50_real,debbink
1,2001,30251,4,0.8125,No,16,ic50_real,debbink
1,2001,30251,5,0.75,No,16,ic50_real,debbink
1,2001,30501,1,0.8125,No,16,ic50_real,debbink
1,2001,30501,2,0.0625,No,16,ic50_real,debbink
1,2001,30501,3,0.8125,No,16,ic50_real,debbink
1,2001,30501,4,0.875,No,16,ic50_real,debbink
1,2001,30501,5,0.6875,No,16,ic50_real,debbink
1,2001,30751,1,0.6875,No,16,ic50_real,debbink
1,2001,30751,2,0,No,16,ic50_real,debbink
1,2001,30751,3,0.75,No,16,ic50_real,debbink
1,2001,30751,4,0.875,No,16,ic50_real,debbink
1,2001,30751,5,0.75,No,16,ic50_real,debbink
1,2001,31001,1,0.4375,No,16,ic50_real,debbink
1,2001,31001,2,0.1875,No,16,ic50_real,debbink
1,2001,31001,3,0.375,No,16,ic50_real,debbink
1,2001,31001,4,0.8125,No,16,ic50_real,debbink
1,2001,31001,5,0.5625,No,16,ic50_real,debbink
1,2001,31251,1,0.5,No,16,ic50_real,debbink
1,2001,31251,2,0.4375,No,16,ic50_real,debbink
1,2001,31251,3,0.4375,No,16,ic50_real,debbink
1,2001,31251,4,0.875,No,16,ic50_real,debbink
1,2001,31251,5,0.5625,No,16,ic50_real,debbink
1,2001,31501,1,0.4375,No,16,ic50_real,debbink
1,2001,31501,2,0.3125,No,16,ic50_real,debbink
1,2001,31501,3,0.5625,No,16,ic50_real,debbink
1,2001,31501,4,0.75,No,16,ic50_real,debbink
1,2001,31501,5,0.3125,No,16,ic50_real,debbink
1,2001,31751,1,0.4375,No,16,ic50_real,debbink
1,2001,31751,2,0.4375,No,16,ic50_real,debbink
1,2001,31751,3,0.375,No,16,ic50_real,debbink
1,2001,31751,4,0.8125,No,16,ic50_real,debbink
1,2001,31751,5,0.25,No,16,ic50_real,debbink
1,2001,32001,1,0.5,No,16,ic50_real,debbink
1,2001,32001,2,0.5625,No,16,ic50_real,debbink
1,2001,32001,3,0.375,No,16,ic50_real,debbink
1,2001,32001,4,0.75,No,16,ic50_real,debbink
1,2001,32001,5,0.625,No,16,ic50_real,debbink
1,2001,32251,1,0.25,No,16,ic50_real,debbink
1,2001,32251,2,0.8125,No,16,ic50_real,debbink
1,2001,32251,3,0.4375,No,16,ic50_real,debbink
1,2001,32251,4,0.875,No,16,ic50_real,debbink
1,2001,32251,5,0.1875,No,16,ic50_real,debbink
1,2001,32501,1,0.1875,No,16,ic50_real,debbink
1,2001,32501,2,0.75,No,16,ic50_real,debbink
1,2001,32501,3,0.375,No,16,ic50_real,debbink
1,2001,32501,4,0.875,No,16,ic50_real,debbink
1,2001,32501,5,0.25,No,16,ic50_real,debbink
1,2001,32751,1,0.3125,No,16,ic50_real,debbink
1,2001,32751,2,0.8125,No,16,ic50_real,debbink
1,2001,32751,3,0.625,No,16,ic50_real,debbink
1,2001,32751,4,0.875,No,16,ic50_real,debbink
1,2001,32751,5,0.4375,No,16,ic50_real,debbink
1,2001,33001,1,0.0625,No,16,ic50_real,debbink
1,2001,33001,2,0.8125,No,16,ic50_real,debbink
1,2001,33001,3,0.6875,No,16,ic50_real,debbink
1,2001,33001,4,0.875,No,16,ic50_real,debbink
1,2001,33001,5,0.5,No,16,ic50_real,debbink
1,2001,33251,1,0.1875,No,16,ic50_real,debbink
1,2001,33251,2,0.5,No,16,ic50_real,debbink
1,2001,33251,3,0.5,No,16,ic50_real,debbink
1,2001,33251,4,0.75,No,16,ic50_real,debbink
1,2001,33251,5,0.625,No,16,ic50_real,debbink
1,2001,33501,1,0,No,16,ic50_real,debbink
1,2001,33501,2,0.3125,No,16,ic50_real,debbink
1,2001,33501,3,0.625,No,16,ic50_real,debbink
1,2001,33501,4,0.875,No,16,ic50_real,debbink
1,2001,33501,5,0.4375,No,16,ic50_real,debbink
1,2001,33751,1,0.0625,No,16,ic50_real,debbink
1,2001,33751,2,0.75,No,16,ic50_real,debbink
1,2001,33751,3,0.125,No,16,ic50_real,debbink
1,2001,33751,4,0.75,No,16,ic50_real,debbink
1,2001,33751,5,0.625,No,16,ic50_real,debbink
1,2001,34001,1,0.125,No,16,ic50_real,debbink
1,2001,34001,2,0.3125,No,16,ic50_real,debbink
1,2001,34001,3,0.0625,No,16,ic50_real,debbink
1,2001,34001,4,0.8125,No,16,ic50_real,debbink
1,2001,34001,5,0.5,No,16,ic50_real,debbink
1,2001,34251,1,0.5,No,16,ic50_real,debbink
1,2001,34251,2,0.875,No,16,ic50_real,debbink
1,2001,34251,3,0.1875,No,16,ic50_real,debbink
1,2001,34251,4,0.8125,No,16,ic50_real,debbink
1,2001,34251,5,0.875,No,16,ic50_real,debbink
1,2001,34501,1,0.5625,No,16,ic50_real,debbink
1,2001,34501,2,0.875,No,16,ic50_real,debbink
1,2001,34501,3,0.125,No,16,ic50_real,debbink
1,2001,34501,4,0.875,No,16,ic50_real,debbink
1,2001,34501,5,0.875,No,16,ic50_real,debbink
1,2001,34751,1,0.75,No,16,ic50_real,debbink
1,2001,34751,2,0.875,No,16,ic50_real,debbink
1,2001,34751,3,0.6875,No,16,ic50_real,debbink
1,2001,34751,4,0.75,No,16,ic50_real,debbink
1,2001,34751,5,0.8125,No,16,ic50_real,debbink
1,2001,35001,1,0.8125,No,16,ic50_real,debbink
1,2001,35001,2,0.875,No,16,ic50_real,debbink
1,2001,35001,3,0.5,No,16,ic50_real,debbink
1,2001,35001,4,0.8125,No,16,ic50_real,debbink
1,2001,35001,5,0.8125,No,16,ic50_real,debbink
1,2001,35251,1,0.75,No,16,ic50_real,debbink
1,2001,35251,2,0.875,No,16,ic50_real,debbink
1,2001,35251,3,0.625,No,16,ic50_real,debbink
1,2001,35251,4,0.8125,No,16,ic50_real,debbink
1,2001,35251,5,0.8125,No,16,ic50_real,debbink
1,2001,35501,1,0.5625,No,16,ic50_real,debbink
1,2001,35501,2,0.875,No,16,ic50_real,debbink
1,2001,35501,3,0.625,No,16,ic50_real,debbink
1,2001,35501,4,0.8125,No,16,ic50_real,debbink
1,2001,35501,5,0.8125,No,16,ic50_real,debbink
1,2001,35751,1,0.6875,No,16,ic50_real,debbink
1,2001,35751,2,0.875,No,16,ic50_real,debbink
1,2001,35751,3,0.5,No,16,ic50_real,debbink
1,2001,35751,4,0.8125,No,16,ic50_real,debbink
1,2001,35751,5,0.625,No,16,ic50_real,debbink
