age,samp_no,chain_no,j,ar,N
0,20001,1,2001,0,21
0,20001,1,2002,0.02,50
0,20001,1,2003,0.1111111111111111,54
0,20001,1,2004,0.2972972972972973,74
0,20001,1,2005,0.08333333333333333,72
0,20001,1,2006,0.09523809523809523,63
0,20001,1,2007,0.36363636363636365,44
0,20001,1,2008,0.48,25
0,20001,1,2009,0.6666666666666666,3
0,20001,2,2001,0,21
0,20001,2,2002,0.02,50
0,20001,2,2003,0.07407407407407407,54
0,20001,2,2004,0.3783783783783784,74
0,20001,2,2005,0.09722222222222222,72
0,20001,2,2006,0.07936507936507936,63
0,20001,2,2007,0.4772727272727273,44
0,20001,2,2008,0.32,25
0,20001,2,2009,0.3333333333333333,3
0,20001,3,2001,0,21
0,20001,3,2002,0.04,50
0,20001,3,2003,0.24074074074074073,54
0,20001,3,2004,0.3783783783783784,74
0,20001,3,2005,0.125,72
0,20001,3,2006,0.1111111111111111,63
0,20001,3,2007,0.36363636363636365,44
0,20001,3,2008,0.32,25
0,20001,3,2009,0.3333333333333333,3
0,20001,4,2001,0,21
0,20001,4,2002,0.04,50
0,20001,4,2003,0.18518518518518517,54
0,20001,4,2004,0.3108108108108108,74
0,20001,4,2005,0.1527777777777778,72
0,20001,4,2006,0.09523809523809523,63
0,20001,4,2007,0.5454545454545454,44
0,20001,4,2008,0.24,25
0,20001,4,2009,0.6666666666666666,3
0,20001,5,2001,0,21
0,20001,5,2002,0.02,50
0,20001,5,2003,0.14814814814814814,54
0,20001,5,2004,0.2702702702702703,74
0,20001,5,2005,0.19444444444444445,72
0,20001,5,2006,0.12698412698412698,63
0,20001,5,2007,0.4318181818181818,44
0,20001,5,2008,0.56,25
0,20001,5,2009,0.6666666666666666,3
0,20251,1,2001,0,21
0,20251,1,2002,0.04,50
0,20251,1,2003,0.07407407407407407,54
0,20251,1,2004,0.32432432432432434,74
0,20251,1,2005,0.06944444444444445,72
0,20251,1,2006,0.07936507936507936,63
0,20251,1,2007,0.38636363636363635,44
0,20251,1,2008,0.52,25
0,20251,1,2009,0.6666666666666666,3
0,20251,2,2001,0,21
0,20251,2,2002,0.04,50
0,20251,2,2003,0.09259259259259259,54
0,20251,2,2004,0.43243243243243246,74
0,20251,2,2005,0.05555555555555555,72
0,20251,2,2006,0.06349206349206349,63
0,20251,2,2007,0.36363636363636365,44
0,20251,2,2008,0.32,25
0,20251,2,2009,0.6666666666666666,3
0,20251,3,2001,0,21
0,20251,3,2002,0.04,50
0,20251,3,2003,0.2037037037037037,54
0,20251,3,2004,0.3108108108108108,74
0,20251,3,2005,0.041666666666666664,72
0,20251,3,2006,0.09523809523809523,63
0,20251,3,2007,0.4090909090909091,44
0,20251,3,2008,0.4,25
0,20251,3,2009,0.6666666666666666,3
0,20251,4,2001,0,21
0,20251,4,2002,0.04,50
0,20251,4,2003,0.24074074074074073,54
0,20251,4,2004,0.24324324324324326,74
0,20251,4,2005,0.125,72
0,20251,4,2006,0.047619047619047616,63
0,20251,4,2007,0.4772727272727273,44
0,20251,4,2008,0.48,25
0,20251,4,2009,0.6666666666666666,3
0,20251,5,2001,0,21
0,20251,5,2002,0.02,50
0,20251,5,2003,0.2037037037037037,54
0,20251,5,2004,0.35135135135135137,74
0,20251,5,2005,0.125,72
0,20251,5,2006,0.15873015873015872,63
0,20251,5,2007,0.36363636363636365,44
0,20251,5,2008,0.48,25
0,20251,5,2009,0.3333333333333333,3
0,20501,1,2001,0,21
0,20501,1,2002,0.02,50
0,20501,1,2003,0.1111111111111111,54
0,20501,1,2004,0.35135135135135137,74
0,20501,1,2005,0.1388888888888889,72
0,20501,1,2006,0.06349206349206349,63
0,20501,1,2007,0.2727272727272727,44
0,20501,1,2008,0.44,25
0,20501,1,2009,0.6666666666666666,3
0,20501,2,2001,0,21
0,20501,2,2002,0.02,50
0,20501,2,2003,0.07407407407407407,54
0,20501,2,2004,0.3918918918918919,74
0,20501,2,2005,0.08333333333333333,72
0,20501,2,2006,0.047619047619047616,63
0,20501,2,2007,0.4090909090909091,44
0,20501,2,2008,0.44,25
0,20501,2,2009,0.3333333333333333,3
0,20501,3,2001,0,21
0,20501,3,2002,0.02,50
0,20501,3,2003,0.24074074074074073,54
0,20501,3,2004,0.24324324324324326,74
0,20501,3,2005,0.16666666666666666,72
0,20501,3,2006,0.14285714285714285,63
0,20501,3,2007,0.45454545454545453,44
0,20501,3,2008,0.28,25
0,20501,3,2009,0.3333333333333333,3
0,20501,4,2001,0,21
0,20501,4,2002,0.04,50
0,20501,4,2003,0.16666666666666666,54
0,20501,4,2004,0.25675675675675674,74
0,20501,4,2005,0.1388888888888889,72
0,20501,4,2006,0.12698412698412698,63
0,20501,4,2007,0.5681818181818182,44
0,20501,4,2008,0.4,25
0,20501,4,2009,0.6666666666666666,3
0,20501,5,2001,0,21
0,20501,5,2002,0.04,50
0,20501,5,2003,0.12962962962962962,54
0,20501,5,2004,0.28378378378378377,74
0,20501,5,2005,0.09722222222222222,72
0,20501,5,2006,0.14285714285714285,63
0,20501,5,2007,0.4318181818181818,44
0,20501,5,2008,0.56,25
0,20501,5,2009,1,3
0,20751,1,2001,0,21
0,20751,1,2002,0.04,50
0,20751,1,2003,0.1111111111111111,54
0,20751,1,2004,0.33783783783783783,74
0,20751,1,2005,0.125,72
0,20751,1,2006,0.07936507936507936,63
0,20751,1,2007,0.29545454545454547,44
0,20751,1,2008,0.44,25
0,20751,1,2009,0.6666666666666666,3
0,20751,2,2001,0,21
0,20751,2,2002,0,50
0,20751,2,2003,0.14814814814814814,54
0,20751,2,2004,0.3783783783783784,74
0,20751,2,2005,0.05555555555555555,72
0,20751,2,2006,0.09523809523809523,63
0,20751,2,2007,0.38636363636363635,44
0,20751,2,2008,0.32,25
0,20751,2,2009,0.3333333333333333,3
0,20751,3,2001,0,21
0,20751,3,2002,0.02,50
0,20751,3,2003,0.2222222222222222,54
0,20751,3,2004,0.24324324324324326,74
0,20751,3,2005,0.16666666666666666,72
0,20751,3,2006,0.12698412698412698,63
0,20751,3,2007,0.36363636363636365,44
0,20751,3,2008,0.44,25
0,20751,3,2009,0,3
0,20751,4,2001,0,21
0,20751,4,2002,0.04,50
0,20751,4,2003,0.12962962962962962,54
0,20751,4,2004,0.22972972972972974,74
0,20751,4,2005,0.1388888888888889,72
0,20751,4,2006,0.09523809523809523,63
0,20751,4,2007,0.4090909090909091,44
0,20751,4,2008,0.56,25
0,20751,4,2009,0.6666666666666666,3
0,20751,5,2001,0,21
0,20751,5,2002,0.04,50
0,20751,5,2003,0.25925925925925924,54
0,20751,5,2004,0.22972972972972974,74
0,20751,5,2005,0.1388888888888889,72
0,20751,5,2006,0.1746031746031746,63
0,20751,5,2007,0.4318181818181818,44
0,20751,5,2008,0.44,25
0,20751,5,2009,0.6666666666666666,3
0,21001,1,2001,0,21
0,21001,1,2002,0.04,50
0,21001,1,2003,0.09259259259259259,54
0,21001,1,2004,0.35135135135135137,74
0,21001,1,2005,0.09722222222222222,72
0,21001,1,2006,0.07936507936507936,63
0,21001,1,2007,0.2727272727272727,44
0,21001,1,2008,0.4,25
0,21001,1,2009,0.6666666666666666,3
0,21001,2,2001,0,21
0,21001,2,2002,0.04,50
0,21001,2,2003,0.12962962962962962,54
0,21001,2,2004,0.33783783783783783,74
0,21001,2,2005,0.1111111111111111,72
0,21001,2,2006,0.1111111111111111,63
0,21001,2,2007,0.3181818181818182,44
0,21001,2,2008,0.48,25
