age,samp_no,chain_no,ar,N
0,400001,1,0.17252396166134185,313
0,400001,2,0.15335463258785942,313
0,400001,3,0.17891373801916932,313
0,400001,4,0.14696485623003194,313
0,400001,5,0.1597444089456869,313
0,405001,1,0.12779552715654952,313
0,405001,2,0.16613418530351437,313
0,405001,3,0.17252396166134185,313
0,405001,4,0.16613418530351437,313
0,405001,5,0.16932907348242812,313
0,410001,1,0.18849840255591055,313
0,410001,2,0.18210862619808307,313
0,410001,3,0.15654952076677317,313
0,410001,4,0.1757188498402556,313
0,410001,5,0.16293929712460065,313
0,415001,1,0.14696485623003194,313
0,415001,2,0.19488817891373802,313
0,415001,3,0.16613418530351437,313
0,415001,4,0.17252396166134185,313
0,415001,5,0.18210862619808307,313
0,420001,1,0.16293929712460065,313
0,420001,2,0.16613418530351437,313
0,420001,3,0.15654952076677317,313
0,420001,4,0.1501597444089457,313
0,420001,5,0.18210862619808307,313
0,425001,1,0.17891373801916932,313
0,425001,2,0.19169329073482427,313
0,425001,3,0.14696485623003194,313
0,425001,4,0.1853035143769968,313
0,425001,5,0.17891373801916932,313
0,430001,1,0.18849840255591055,313
0,430001,2,0.14376996805111822,313
0,430001,3,0.14376996805111822,313
0,430001,4,0.15335463258785942,313
0,430001,5,0.1757188498402556,313
0,435001,1,0.17252396166134185,313
0,435001,2,0.16293929712460065,313
0,435001,3,0.16293929712460065,313
0,435001,4,0.16613418530351437,313
0,435001,5,0.1597444089456869,313
0,440001,1,0.1853035143769968,313
0,440001,2,0.13099041533546327,313
0,440001,3,0.16293929712460065,313
0,440001,4,0.16932907348242812,313
0,440001,5,0.16613418530351437,313
0,445001,1,0.1757188498402556,313
0,445001,2,0.15654952076677317,313
0,445001,3,0.14696485623003194,313
0,445001,4,0.1597444089456869,313
0,445001,5,0.14696485623003194,313
0,450001,1,0.14696485623003194,313
0,450001,2,0.15335463258785942,313
0,450001,3,0.16613418530351437,313
0,450001,4,0.1501597444089457,313
0,450001,5,0.1853035143769968,313
0,455001,1,0.16613418530351437,313
0,455001,2,0.15335463258785942,313
0,455001,3,0.1501597444089457,313
0,455001,4,0.1757188498402556,313
0,455001,5,0.17252396166134185,313
0,460001,1,0.17252396166134185,313
0,460001,2,0.14696485623003194,313
0,460001,3,0.14696485623003194,313
0,460001,4,0.16613418530351437,313
0,460001,5,0.16293929712460065,313
0,465001,1,0.14696485623003194,313
0,465001,2,0.17252396166134185,313
0,465001,3,0.14696485623003194,313
0,465001,4,0.16932907348242812,313
0,465001,5,0.16932907348242812,313
0,470001,1,0.16293929712460065,313
0,470001,2,0.15335463258785942,313
0,470001,3,0.16293929712460065,313
0,470001,4,0.15335463258785942,313
0,470001,5,0.16613418530351437,313
0,475001,1,0.1597444089456869,313
0,475001,2,0.19169329073482427,313
0,475001,3,0.15335463258785942,313
0,475001,4,0.17252396166134185,313
0,475001,5,0.1597444089456869,313
0,480001,1,0.16293929712460065,313
0,480001,2,0.16613418530351437,313
0,480001,3,0.1757188498402556,313
0,480001,4,0.14376996805111822,313
0,480001,5,0.1757188498402556,313
0,485001,1,0.1757188498402556,313
0,485001,2,0.17252396166134185,313
0,485001,3,0.1853035143769968,313
0,485001,4,0.15335463258785942,313
0,485001,5,0.1597444089456869,313
0,490001,1,0.17252396166134185,313
0,490001,2,0.17252396166134185,313
0,490001,3,0.18210862619808307,313
0,490001,4,0.16932907348242812,313
0,490001,5,0.16613418530351437,313
0,495001,1,0.1501597444089457,313
0,495001,2,0.16293929712460065,313
0,495001,3,0.19488817891373802,313
0,495001,4,0.16293929712460065,313
0,495001,5,0.16293929712460065,313
0,500001,1,0.1757188498402556,313
0,500001,2,0.17891373801916932,313
0,500001,3,0.17891373801916932,313
0,500001,4,0.1757188498402556,313
