age,samp_no,chain_no,ar,N
0,400001,1,0.18597560975609756,656
0,400001,2,0.1722560975609756,656
0,400001,3,0.16920731707317074,656
0,400001,4,0.1722560975609756,656
0,400001,5,0.1798780487804878,656
0,405001,1,0.19969512195121952,656
0,405001,2,0.19817073170731708,656
0,405001,3,0.16615853658536586,656
0,405001,4,0.18597560975609756,656
0,405001,5,0.18292682926829268,656
0,410001,1,0.16310975609756098,656
0,410001,2,0.15396341463414634,656
0,410001,3,0.1676829268292683,656
0,410001,4,0.2027439024390244,656
0,410001,5,0.15548780487804878,656
0,415001,1,0.14939024390243902,656
0,415001,2,0.17682926829268292,656
0,415001,3,0.1951219512195122,656
0,415001,4,0.1676829268292683,656
0,415001,5,0.16615853658536586,656
0,420001,1,0.1676829268292683,656
0,420001,2,0.19359756097560976,656
0,420001,3,0.20426829268292682,656
0,420001,4,0.17835365853658536,656
0,420001,5,0.18140243902439024,656
0,425001,1,0.16310975609756098,656
0,425001,2,0.16615853658536586,656
0,425001,3,0.16615853658536586,656
0,425001,4,0.20426829268292682,656
0,425001,5,0.1676829268292683,656
0,430001,1,0.16615853658536586,656
0,430001,2,0.1600609756097561,656
0,430001,3,0.17073170731707318,656
0,430001,4,0.2027439024390244,656
0,430001,5,0.16463414634146342,656
0,435001,1,0.1798780487804878,656
0,435001,2,0.18140243902439024,656
0,435001,3,0.16920731707317074,656
0,435001,4,0.15853658536585366,656
0,435001,5,0.16463414634146342,656
0,440001,1,0.16158536585365854,656
0,440001,2,0.16920731707317074,656
0,440001,3,0.17073170731707318,656
0,440001,4,0.19054878048780488,656
0,440001,5,0.2027439024390244,656
0,445001,1,0.17073170731707318,656
0,445001,2,0.19969512195121952,656
0,445001,3,0.19817073170731708,656
0,445001,4,0.20121951219512196,656
0,445001,5,0.17378048780487804,656
0,450001,1,0.16158536585365854,656
0,450001,2,0.14786585365853658,656
0,450001,3,0.18292682926829268,656
0,450001,4,0.15548780487804878,656
0,450001,5,0.1600609756097561,656
0,455001,1,0.17530487804878048,656
0,455001,2,0.15396341463414634,656
0,455001,3,0.18292682926829268,656
0,455001,4,0.16310975609756098,656
0,455001,5,0.17073170731707318,656
0,460001,1,0.21036585365853658,656
0,460001,2,0.1600609756097561,656
0,460001,3,0.19817073170731708,656
0,460001,4,0.19359756097560976,656
0,460001,5,0.1875,656
0,465001,1,0.17530487804878048,656
0,465001,2,0.1524390243902439,656
0,465001,3,0.16615853658536586,656
0,465001,4,0.18445121951219512,656
0,465001,5,0.18902439024390244,656
0,470001,1,0.16310975609756098,656
0,470001,2,0.17073170731707318,656
0,470001,3,0.16615853658536586,656
0,470001,4,0.1722560975609756,656
0,470001,5,0.1722560975609756,656
0,475001,1,0.19359756097560976,656
0,475001,2,0.18292682926829268,656
0,475001,3,0.1798780487804878,656
0,475001,4,0.1600609756097561,656
0,475001,5,0.18445121951219512,656
0,480001,1,0.19359756097560976,656
0,480001,2,0.15396341463414634,656
0,480001,3,0.16310975609756098,656
0,480001,4,0.16158536585365854,656
0,480001,5,0.18597560975609756,656
0,485001,1,0.18140243902439024,656
0,485001,2,0.18597560975609756,656
0,485001,3,0.1676829268292683,656
0,485001,4,0.17378048780487804,656
0,485001,5,0.16463414634146342,656
0,490001,1,0.18292682926829268,656
0,490001,2,0.16158536585365854,656
0,490001,3,0.17682926829268292,656
0,490001,4,0.17682926829268292,656
0,490001,5,0.18597560975609756,656
0,495001,1,0.17530487804878048,656
0,495001,2,0.1722560975609756,656
0,495001,3,0.18445121951219512,656
0,495001,4,0.13871951219512196,656
0,495001,5,0.17835365853658536,656
0,500001,1,0.20579268292682926,656
0,500001,2,0.15396341463414634,656
0,500001,3,0.16310975609756098,656
0,500001,4,0.16158536585365854,656
0,500001,5,0.1798780487804878,656
0,505001,1,0.17682926829268292,656
0,505001,2,0.16463414634146342,656
0,505001,3,0.17530487804878048,656
0,505001,4,0.17530487804878048,656
0,505001,5,0.20579268292682926,656
0,510001,1,0.18140243902439024,656
0,510001,2,0.1722560975609756,656
0,510001,3,0.17378048780487804,656
0,510001,4,0.1600609756097561,656
0,510001,5,0.1722560975609756,656
0,515001,1,0.1722560975609756,656
0,515001,2,0.18597560975609756,656
0,515001,3,0.18902439024390244,656
0,515001,4,0.1875,656
0,515001,5,0.16310975609756098,656
0,520001,1,0.17682926829268292,656
0,520001,2,0.17530487804878048,656
0,520001,3,0.19664634146341464,656
0,520001,4,0.1798780487804878,656
0,520001,5,0.1676829268292683,656
0,525001,1,0.17530487804878048,656
0,525001,2,0.17530487804878048,656
0,525001,3,0.20579268292682926,656
0,525001,4,0.17530487804878048,656
0,525001,5,0.16920731707317074,656
0,530001,1,0.16310975609756098,656
0,530001,2,0.17073170731707318,656
0,530001,3,0.1676829268292683,656
0,530001,4,0.16920731707317074,656
0,530001,5,0.19664634146341464,656
0,535001,1,0.16310975609756098,656
0,535001,2,0.16615853658536586,656
0,535001,3,0.18445121951219512,656
0,535001,4,0.20579268292682926,656
0,535001,5,0.18445121951219512,656
0,540001,1,0.20121951219512196,656
0,540001,2,0.19359756097560976,656
0,540001,3,0.16615853658536586,656
0,540001,4,0.1524390243902439,656
0,540001,5,0.1798780487804878,656
0,545001,1,0.18902439024390244,656
0,545001,2,0.17682926829268292,656
0,545001,3,0.18597560975609756,656
0,545001,4,0.15853658536585366,656
0,545001,5,0.18292682926829268,656
0,550001,1,0.18597560975609756,656
0,550001,2,0.17530487804878048,656
0,550001,3,0.14329268292682926,656
0,550001,4,0.18292682926829268,656
0,550001,5,0.18292682926829268,656
0,555001,1,0.15701219512195122,656
0,555001,2,0.15853658536585366,656
0,555001,3,0.19359756097560976,656
0,555001,4,0.15701219512195122,656
0,555001,5,0.17682926829268292,656
0,560001,1,0.18902439024390244,656
0,560001,2,0.18902439024390244,656
0,560001,3,0.15396341463414634,656
0,560001,4,0.16615853658536586,656
0,560001,5,0.17682926829268292,656
0,565001,1,0.14786585365853658,656
0,565001,2,0.16310975609756098,656
0,565001,3,0.15548780487804878,656
0,565001,4,0.19817073170731708,656
0,565001,5,0.17378048780487804,656
0,570001,1,0.16158536585365854,656
0,570001,2,0.17835365853658536,656
0,570001,3,0.18597560975609756,656
0,570001,4,0.19969512195121952,656
0,570001,5,0.16310975609756098,656
0,575001,1,0.18140243902439024,656
0,575001,2,0.16920731707317074,656
0,575001,3,0.16463414634146342,656
0,575001,4,0.1676829268292683,656
0,575001,5,0.15548780487804878,656
0,580001,1,0.1676829268292683,656
0,580001,2,0.16463414634146342,656
0,580001,3,0.17530487804878048,656
0,580001,4,0.17835365853658536,656
0,580001,5,0.17530487804878048,656
0,585001,1,0.16158536585365854,656
0,585001,2,0.14939024390243902,656
0,585001,3,0.18597560975609756,656
0,585001,4,0.13871951219512196,656
0,585001,5,0.14176829268292682,656
0,590001,1,0.17530487804878048,656
0,590001,2,0.17378048780487804,656
0,590001,3,0.17682926829268292,656
0,590001,4,0.1600609756097561,656
0,590001,5,0.18445121951219512,656
0,595001,1,0.18140243902439024,656
0,595001,2,0.1722560975609756,656
0,595001,3,0.1875,656
0,595001,4,0.18902439024390244,656
0,595001,5,0.17835365853658536,656
0,600001,1,0.19817073170731708,656
0,600001,2,0.16158536585365854,656
0,600001,3,0.19359756097560976,656
0,600001,4,0.19664634146341464,656
0,600001,5,0.18597560975609756,656
0,605001,1,0.17530487804878048,656
0,605001,2,0.1448170731707317,656
0,605001,3,0.1798780487804878,656
0,605001,4,0.18292682926829268,656
0,605001,5,0.18597560975609756,656
0,610001,1,0.17682926829268292,656
0,610001,2,0.1798780487804878,656
0,610001,3,0.1875,656
0,610001,4,0.19359756097560976,656
0,610001,5,0.20579268292682926,656
0,615001,1,0.1798780487804878,656
0,615001,2,0.17530487804878048,656
0,615001,3,0.2027439024390244,656
0,615001,4,0.18902439024390244,656
0,615001,5,0.19969512195121952,656
0,620001,1,0.16463414634146342,656
0,620001,2,0.1798780487804878,656
0,620001,3,0.17682926829268292,656
0,620001,4,0.1676829268292683,656
0,620001,5,0.17682926829268292,656
0,625001,1,0.16463414634146342,656
0,625001,2,0.17835365853658536,656
0,625001,3,0.20121951219512196,656
0,625001,4,0.1722560975609756,656
0,625001,5,0.18445121951219512,656
0,630001,1,0.17378048780487804,656
0,630001,2,0.15853658536585366,656
0,630001,3,0.1875,656
0,630001,4,0.1875,656
0,630001,5,0.1875,656
0,635001,1,0.16310975609756098,656
0,635001,2,0.17682926829268292,656
0,635001,3,0.1600609756097561,656
0,635001,4,0.17378048780487804,656
0,635001,5,0.17682926829268292,656
0,640001,1,0.17682926829268292,656
0,640001,2,0.16158536585365854,656
0,640001,3,0.14786585365853658,656
0,640001,4,0.1798780487804878,656
0,640001,5,0.17073170731707318,656
0,645001,1,0.17073170731707318,656
0,645001,2,0.18445121951219512,656
0,645001,3,0.1676829268292683,656
0,645001,4,0.1600609756097561,656
0,645001,5,0.15396341463414634,656
0,650001,1,0.16158536585365854,656
0,650001,2,0.17835365853658536,656
0,650001,3,0.16920731707317074,656
0,650001,4,0.1676829268292683,656
0,650001,5,0.18292682926829268,656
0,655001,1,0.16310975609756098,656
0,655001,2,0.1722560975609756,656
0,655001,3,0.17378048780487804,656
0,655001,4,0.17530487804878048,656
0,655001,5,0.1875,656
0,660001,1,0.18140243902439024,656
0,660001,2,0.20121951219512196,656
0,660001,3,0.1798780487804878,656
0,660001,4,0.1951219512195122,656
0,660001,5,0.1676829268292683,656
0,665001,1,0.21951219512195122,656
0,665001,2,0.18140243902439024,656
0,665001,3,0.16920731707317074,656
0,665001,4,0.1951219512195122,656
0,665001,5,0.19359756097560976,656
0,670001,1,0.16158536585365854,656
0,670001,2,0.17530487804878048,656
0,670001,3,0.1524390243902439,656
0,670001,4,0.1798780487804878,656
0,670001,5,0.1676829268292683,656
0,675001,1,0.20426829268292682,656
0,675001,2,0.1722560975609756,656
0,675001,3,0.18597560975609756,656
0,675001,4,0.17378048780487804,656
0,675001,5,0.18292682926829268,656
0,680001,1,0.17682926829268292,656
0,680001,2,0.2027439024390244,656
0,680001,3,0.16158536585365854,656
0,680001,4,0.16158536585365854,656
0,680001,5,0.19664634146341464,656
0,685001,1,0.18292682926829268,656
0,685001,2,0.1798780487804878,656
0,685001,3,0.17530487804878048,656
0,685001,4,0.17073170731707318,656
0,685001,5,0.17073170731707318,656
0,690001,1,0.19664634146341464,656
0,690001,2,0.15853658536585366,656
0,690001,3,0.1676829268292683,656
0,690001,4,0.17835365853658536,656
0,690001,5,0.18140243902439024,656
0,695001,1,0.17378048780487804,656
0,695001,2,0.16920731707317074,656
0,695001,3,0.17073170731707318,656
0,695001,4,0.1600609756097561,656
0,695001,5,0.1600609756097561,656
0,700001,1,0.16920731707317074,656
0,700001,2,0.19054878048780488,656
0,700001,3,0.1798780487804878,656
0,700001,4,0.21341463414634146,656
0,700001,5,0.16920731707317074,656
0,705001,1,0.17682926829268292,656
0,705001,2,0.16158536585365854,656
0,705001,3,0.18445121951219512,656
0,705001,4,0.1722560975609756,656
0,705001,5,0.17530487804878048,656
0,710001,1,0.20579268292682926,656
0,710001,2,0.16920731707317074,656
0,710001,3,0.16158536585365854,656
0,710001,4,0.15091463414634146,656
0,710001,5,0.16158536585365854,656
0,715001,1,0.15853658536585366,656
0,715001,2,0.18597560975609756,656
0,715001,3,0.1798780487804878,656
0,715001,4,0.18597560975609756,656
0,715001,5,0.18597560975609756,656
0,720001,1,0.17530487804878048,656
0,720001,2,0.19664634146341464,656
0,720001,3,0.16463414634146342,656
0,720001,4,0.17835365853658536,656
0,720001,5,0.17835365853658536,656
0,725001,1,0.20121951219512196,656
0,725001,2,0.16463414634146342,656
0,725001,3,0.18597560975609756,656
0,725001,4,0.1722560975609756,656
0,725001,5,0.18902439024390244,656
0,730001,1,0.18902439024390244,656
0,730001,2,0.18292682926829268,656
0,730001,3,0.18292682926829268,656
0,730001,4,0.1875,656
0,730001,5,0.16463414634146342,656
0,735001,1,0.19359756097560976,656
0,735001,2,0.1875,656
0,735001,3,0.16920731707317074,656
0,735001,4,0.1951219512195122,656
0,735001,5,0.17530487804878048,656
0,740001,1,0.18292682926829268,656
0,740001,2,0.1722560975609756,656
0,740001,3,0.14939024390243902,656
0,740001,4,0.17378048780487804,656
0,740001,5,0.1951219512195122,656
0,745001,1,0.18445121951219512,656
0,745001,2,0.1676829268292683,656
0,745001,3,0.1798780487804878,656
0,745001,4,0.21189024390243902,656
0,745001,5,0.1798780487804878,656
0,750001,1,0.16463414634146342,656
0,750001,2,0.16920731707317074,656
0,750001,3,0.15701219512195122,656
0,750001,4,0.13719512195121952,656
0,750001,5,0.17682926829268292,656
0,755001,1,0.1875,656
0,755001,2,0.16920731707317074,656
0,755001,3,0.17682926829268292,656
0,755001,4,0.18445121951219512,656
0,755001,5,0.16158536585365854,656
0,760001,1,0.18902439024390244,656
0,760001,2,0.1722560975609756,656
0,760001,3,0.17530487804878048,656
0,760001,4,0.1676829268292683,656
0,760001,5,0.17378048780487804,656
0,765001,1,0.1798780487804878,656
0,765001,2,0.1722560975609756,656
0,765001,3,0.18445121951219512,656
0,765001,4,0.20121951219512196,656
0,765001,5,0.19664634146341464,656
0,770001,1,0.18902439024390244,656
0,770001,2,0.16463414634146342,656
0,770001,3,0.1524390243902439,656
0,770001,4,0.1676829268292683,656
0,770001,5,0.18140243902439024,656
0,775001,1,0.15396341463414634,656
0,775001,2,0.14786585365853658,656
0,775001,3,0.18597560975609756,656
0,775001,4,0.18597560975609756,656
0,775001,5,0.17073170731707318,656
0,780001,1,0.1798780487804878,656
0,780001,2,0.20426829268292682,656
0,780001,3,0.19359756097560976,656
0,780001,4,0.19054878048780488,656
0,780001,5,0.19359756097560976,656
0,785001,1,0.19817073170731708,656
0,785001,2,0.18140243902439024,656
0,785001,3,0.15853658536585366,656
0,785001,4,0.20121951219512196,656
0,785001,5,0.15548780487804878,656
0,790001,1,0.1875,656
0,790001,2,0.17682926829268292,656
0,790001,3,0.16310975609756098,656
0,790001,4,0.1798780487804878,656
0,790001,5,0.18140243902439024,656
0,795001,1,0.17682926829268292,656
0,795001,2,0.1798780487804878,656
0,795001,3,0.1524390243902439,656
0,795001,4,0.1798780487804878,656
0,795001,5,0.18597560975609756,656
0,800001,1,0.18445121951219512,656
0,800001,2,0.18445121951219512,656
0,800001,3,0.18140243902439024,656
0,800001,4,0.18140243902439024,656
0,800001,5,0.19664634146341464,656
0,805001,1,0.1798780487804878,656
0,805001,2,0.1798780487804878,656
0,805001,3,0.18445121951219512,656
0,805001,4,0.18445121951219512,656
0,805001,5,0.2027439024390244,656
0,810001,1,0.1722560975609756,656
0,810001,2,0.15396341463414634,656
0,810001,3,0.1402439024390244,656
0,810001,4,0.17378048780487804,656
0,810001,5,0.17682926829268292,656
0,815001,1,0.1798780487804878,656
0,815001,2,0.17835365853658536,656
0,815001,3,0.17835365853658536,656
0,815001,4,0.1798780487804878,656
0,815001,5,0.1798780487804878,656
0,820001,1,0.14939024390243902,656
0,820001,2,0.1798780487804878,656
0,820001,3,0.16920731707317074,656
0,820001,4,0.1722560975609756,656
0,820001,5,0.16615853658536586,656
0,825001,1,0.18902439024390244,656
0,825001,2,0.2073170731707317,656
0,825001,3,0.18445121951219512,656
0,825001,4,0.1798780487804878,656
0,825001,5,0.1951219512195122,656
0,830001,1,0.17073170731707318,656
0,830001,2,0.16615853658536586,656
0,830001,3,0.16310975609756098,656
0,830001,4,0.18140243902439024,656
0,830001,5,0.17073170731707318,656
0,835001,1,0.16310975609756098,656
0,835001,2,0.16310975609756098,656
0,835001,3,0.18445121951219512,656
0,835001,4,0.1600609756097561,656
0,835001,5,0.16615853658536586,656
0,840001,1,0.1951219512195122,656
0,840001,2,0.18140243902439024,656
0,840001,3,0.16158536585365854,656
0,840001,4,0.16310975609756098,656
0,840001,5,0.15853658536585366,656
0,845001,1,0.16463414634146342,656
0,845001,2,0.1722560975609756,656
0,845001,3,0.21036585365853658,656
0,845001,4,0.18902439024390244,656
0,845001,5,0.15853658536585366,656
0,850001,1,0.17378048780487804,656
0,850001,2,0.1448170731707317,656
0,850001,3,0.16920731707317074,656
0,850001,4,0.18597560975609756,656
0,850001,5,0.15853658536585366,656
0,855001,1,0.15548780487804878,656
0,855001,2,0.1951219512195122,656
0,855001,3,0.15701219512195122,656
0,855001,4,0.16158536585365854,656
0,855001,5,0.1600609756097561,656
0,860001,1,0.1875,656
0,860001,2,0.18292682926829268,656
0,860001,3,0.16615853658536586,656
0,860001,4,0.19359756097560976,656
0,860001,5,0.17835365853658536,656
0,865001,1,0.15091463414634146,656
0,865001,2,0.16158536585365854,656
0,865001,3,0.15701219512195122,656
0,865001,4,0.15396341463414634,656
0,865001,5,0.19359756097560976,656
0,870001,1,0.1676829268292683,656
0,870001,2,0.1600609756097561,656
0,870001,3,0.17073170731707318,656
0,870001,4,0.1798780487804878,656
0,870001,5,0.19054878048780488,656
0,875001,1,0.18140243902439024,656
0,875001,2,0.16310975609756098,656
0,875001,3,0.15548780487804878,656
0,875001,4,0.1722560975609756,656
0,875001,5,0.17378048780487804,656
0,880001,1,0.19359756097560976,656
0,880001,2,0.16615853658536586,656
0,880001,3,0.17682926829268292,656
0,880001,4,0.18902439024390244,656
0,880001,5,0.19969512195121952,656
0,885001,1,0.18292682926829268,656
0,885001,2,0.2027439024390244,656
0,885001,3,0.16463414634146342,656
0,885001,4,0.16920731707317074,656
0,885001,5,0.17835365853658536,656
0,890001,1,0.17073170731707318,656
0,890001,2,0.17682926829268292,656
0,890001,3,0.18597560975609756,656
0,890001,4,0.14176829268292682,656
0,890001,5,0.14329268292682926,656
0,895001,1,0.16463414634146342,656
0,895001,2,0.17835365853658536,656
0,895001,3,0.18902439024390244,656
0,895001,4,0.14786585365853658,656
0,895001,5,0.18445121951219512,656
0,900001,1,0.20426829268292682,656
0,900001,2,0.16158536585365854,656
0,900001,3,0.17073170731707318,656
0,900001,4,0.19207317073170732,656
0,900001,5,0.19054878048780488,656
0,905001,1,0.1722560975609756,656
0,905001,2,0.18902439024390244,656
0,905001,3,0.18140243902439024,656
0,905001,4,0.14939024390243902,656
0,905001,5,0.1676829268292683,656
0,910001,1,0.16920731707317074,656
0,910001,2,0.16615853658536586,656
0,910001,3,0.17378048780487804,656
0,910001,4,0.19664634146341464,656
0,910001,5,0.1798780487804878,656
0,915001,1,0.18445121951219512,656
0,915001,2,0.15853658536585366,656
0,915001,3,0.2027439024390244,656
0,915001,4,0.17530487804878048,656
0,915001,5,0.19359756097560976,656
0,920001,1,0.16310975609756098,656
0,920001,2,0.1798780487804878,656
0,920001,3,0.16310975609756098,656
0,920001,4,0.18140243902439024,656
0,920001,5,0.16615853658536586,656
0,925001,1,0.17682926829268292,656
0,925001,2,0.18140243902439024,656
0,925001,3,0.1875,656
0,925001,4,0.16920731707317074,656
0,925001,5,0.18292682926829268,656
0,930001,1,0.18902439024390244,656
0,930001,2,0.1676829268292683,656
0,930001,3,0.16463414634146342,656
0,930001,4,0.16920731707317074,656
0,930001,5,0.18140243902439024,656
0,935001,1,0.20426829268292682,656
0,935001,2,0.1722560975609756,656
0,935001,3,0.15853658536585366,656
0,935001,4,0.19207317073170732,656
0,935001,5,0.18140243902439024,656
0,940001,1,0.18445121951219512,656
0,940001,2,0.16920731707317074,656
0,940001,3,0.18140243902439024,656
0,940001,4,0.19359756097560976,656
0,940001,5,0.19359756097560976,656
0,945001,1,0.19817073170731708,656
0,945001,2,0.20426829268292682,656
0,945001,3,0.16615853658536586,656
0,945001,4,0.15701219512195122,656
0,945001,5,0.1875,656
0,950001,1,0.16615853658536586,656
0,950001,2,0.17378048780487804,656
0,950001,3,0.17835365853658536,656
0,950001,4,0.18292682926829268,656
0,950001,5,0.18140243902439024,656
0,955001,1,0.1722560975609756,656
0,955001,2,0.16463414634146342,656
0,955001,3,0.19207317073170732,656
0,955001,4,0.16158536585365854,656
