age,samp_no,chain_no,ar,N
0,100001,1,0.18445121951219512,656
0,100001,2,0.15701219512195122,656
0,100001,3,0.18292682926829268,656
0,100001,4,0.19054878048780488,656
0,100001,5,0.17835365853658536,656
0,101251,1,0.18445121951219512,656
0,101251,2,0.16463414634146342,656
0,101251,3,0.15091463414634146,656
0,101251,4,0.1798780487804878,656
0,101251,5,0.17530487804878048,656
0,102501,1,0.18292682926829268,656
0,102501,2,0.18140243902439024,656
0,102501,3,0.15548780487804878,656
0,102501,4,0.1600609756097561,656
0,102501,5,0.17073170731707318,656
0,103751,1,0.22560975609756098,656
0,103751,2,0.16615853658536586,656
0,103751,3,0.19207317073170732,656
0,103751,4,0.17530487804878048,656
0,103751,5,0.16158536585365854,656
0,105001,1,0.17835365853658536,656
0,105001,2,0.19207317073170732,656
0,105001,3,0.22713414634146342,656
0,105001,4,0.2149390243902439,656
0,105001,5,0.18292682926829268,656
0,106251,1,0.2149390243902439,656
0,106251,2,0.1722560975609756,656
0,106251,3,0.21341463414634146,656
0,106251,4,0.18445121951219512,656
0,106251,5,0.17378048780487804,656
0,107501,1,0.23323170731707318,656
0,107501,2,0.16310975609756098,656
0,107501,3,0.15548780487804878,656
0,107501,4,0.21951219512195122,656
0,107501,5,0.19054878048780488,656
0,108751,1,0.19054878048780488,656
0,108751,2,0.1448170731707317,656
0,108751,3,0.18292682926829268,656
0,108751,4,0.21036585365853658,656
0,108751,5,0.17530487804878048,656
0,110001,1,0.15548780487804878,656
0,110001,2,0.18292682926829268,656
0,110001,3,0.1524390243902439,656
0,110001,4,0.15853658536585366,656
0,110001,5,0.20426829268292682,656
0,111251,1,0.18597560975609756,656
0,111251,2,0.18902439024390244,656
0,111251,3,0.18292682926829268,656
0,111251,4,0.2149390243902439,656
0,111251,5,0.20426829268292682,656
0,112501,1,0.20579268292682926,656
0,112501,2,0.17530487804878048,656
0,112501,3,0.22560975609756098,656
0,112501,4,0.19207317073170732,656
0,112501,5,0.19817073170731708,656
0,113751,1,0.18292682926829268,656
0,113751,2,0.1600609756097561,656
0,113751,3,0.17530487804878048,656
0,113751,4,0.22865853658536586,656
0,113751,5,0.1722560975609756,656
0,115001,1,0.23170731707317074,656
0,115001,2,0.17530487804878048,656
0,115001,3,0.18902439024390244,656
0,115001,4,0.20579268292682926,656
0,115001,5,0.17073170731707318,656
0,116251,1,0.20579268292682926,656
0,116251,2,0.18140243902439024,656
0,116251,3,0.2073170731707317,656
0,116251,4,0.19664634146341464,656
0,116251,5,0.18140243902439024,656
0,117501,1,0.18292682926829268,656
0,117501,2,0.1402439024390244,656
0,117501,3,0.15701219512195122,656
0,117501,4,0.19664634146341464,656
0,117501,5,0.19359756097560976,656
0,118751,1,0.21951219512195122,656
0,118751,2,0.15701219512195122,656
0,118751,3,0.17378048780487804,656
0,118751,4,0.1875,656
0,118751,5,0.21036585365853658,656
0,120001,1,0.21798780487804878,656
0,120001,2,0.19054878048780488,656
0,120001,3,0.16158536585365854,656
0,120001,4,0.2149390243902439,656
0,120001,5,0.19969512195121952,656
0,121251,1,0.2027439024390244,656
0,121251,2,0.2301829268292683,656
0,121251,3,0.20426829268292682,656
0,121251,4,0.18445121951219512,656
0,121251,5,0.20121951219512196,656
0,122501,1,0.23780487804878048,656
0,122501,2,0.20884146341463414,656
0,122501,3,0.17835365853658536,656
0,122501,4,0.1798780487804878,656
0,122501,5,0.17682926829268292,656
0,123751,1,0.17378048780487804,656
0,123751,2,0.21036585365853658,656
0,123751,3,0.18597560975609756,656
0,123751,4,0.16615853658536586,656
0,123751,5,0.18445121951219512,656
0,125001,1,0.19054878048780488,656
0,125001,2,0.1722560975609756,656
0,125001,3,0.1951219512195122,656
0,125001,4,0.17835365853658536,656
0,125001,5,0.21646341463414634,656
0,126251,1,0.20884146341463414,656
0,126251,2,0.18140243902439024,656
0,126251,3,0.24695121951219512,656
0,126251,4,0.17073170731707318,656
0,126251,5,0.1875,656
0,127501,1,0.21646341463414634,656
0,127501,2,0.15396341463414634,656
0,127501,3,0.19817073170731708,656
0,127501,4,0.1875,656
0,127501,5,0.18445121951219512,656
0,128751,1,0.1951219512195122,656
0,128751,2,0.1798780487804878,656
0,128751,3,0.20426829268292682,656
0,128751,4,0.17835365853658536,656
0,128751,5,0.21798780487804878,656
0,130001,1,0.19664634146341464,656
0,130001,2,0.19817073170731708,656
0,130001,3,0.19054878048780488,656
0,130001,4,0.17682926829268292,656
0,130001,5,0.17835365853658536,656
0,131251,1,0.16920731707317074,656
0,131251,2,0.18445121951219512,656
0,131251,3,0.23170731707317074,656
0,131251,4,0.18597560975609756,656
0,131251,5,0.17835365853658536,656
0,132501,1,0.20121951219512196,656
0,132501,2,0.1676829268292683,656
0,132501,3,0.18902439024390244,656
0,132501,4,0.17378048780487804,656
0,132501,5,0.15853658536585366,656
0,133751,1,0.20426829268292682,656
0,133751,2,0.1798780487804878,656
0,133751,3,0.19359756097560976,656
0,133751,4,0.18902439024390244,656
0,133751,5,0.17530487804878048,656
0,135001,1,0.17378048780487804,656
0,135001,2,0.19207317073170732,656
0,135001,3,0.18597560975609756,656
0,135001,4,0.18445121951219512,656
0,135001,5,0.15091463414634146,656
0,136251,1,0.18902439024390244,656
0,136251,2,0.19817073170731708,656
0,136251,3,0.18902439024390244,656
0,136251,4,0.20121951219512196,656
0,136251,5,0.16310975609756098,656
0,137501,1,0.1326219512195122,656
0,137501,2,0.14786585365853658,656
0,137501,3,0.18445121951219512,656
0,137501,4,0.19664634146341464,656
0,137501,5,0.1951219512195122,656
0,138751,1,0.17835365853658536,656
0,138751,2,0.16920731707317074,656
0,138751,3,0.17378048780487804,656
0,138751,4,0.16920731707317074,656
0,138751,5,0.14329268292682926,656
0,140001,1,0.16310975609756098,656
0,140001,2,0.1798780487804878,656
