age,samp_no,chain_no,ar,N
0,20001,1,0.26666666666666666,135
0,20001,2,0.25925925925925924,135
0,20001,3,0.23703703703703705,135
0,20001,4,0.2814814814814815,135
0,20001,5,0.31851851851851853,135
0,20251,1,0.2740740740740741,135
0,20251,2,0.2222222222222222,135
0,20251,3,0.26666666666666666,135
0,20251,4,0.2814814814814815,135
0,20251,5,0.28888888888888886,135
0,20501,1,0.21481481481481482,135
0,20501,2,0.24444444444444444,135
0,20501,3,0.2740740740740741,135
0,20501,4,0.3333333333333333,135
0,20501,5,0.3333333333333333,135
0,20751,1,0.22962962962962963,135
0,20751,2,0.23703703703703705,135
0,20751,3,0.25925925925925924,135
0,20751,4,0.2962962962962963,135
0,20751,5,0.31851851851851853,135
0,21001,1,0.21481481481481482,135
0,21001,2,0.2518518518518518,135
0,21001,3,0.21481481481481482,135
0,21001,4,0.26666666666666666,135
0,21001,5,0.34814814814814815,135
0,21251,1,0.24444444444444444,135
0,21251,2,0.28888888888888886,135
0,21251,3,0.21481481481481482,135
0,21251,4,0.34074074074074073,135
0,21251,5,0.26666666666666666,135
0,21501,1,0.1925925925925926,135
0,21501,2,0.2518518518518518,135
0,21501,3,0.2074074074074074,135
0,21501,4,0.2814814814814815,135
0,21501,5,0.3037037037037037,135
0,21751,1,0.17777777777777778,135
0,21751,2,0.2518518518518518,135
0,21751,3,0.21481481481481482,135
0,21751,4,0.2962962962962963,135
0,21751,5,0.3037037037037037,135
0,22001,1,0.26666666666666666,135
0,22001,2,0.2518518518518518,135
0,22001,3,0.22962962962962963,135
0,22001,4,0.2962962962962963,135
0,22001,5,0.2962962962962963,135
0,22251,1,0.2074074074074074,135
0,22251,2,0.3111111111111111,135
0,22251,3,0.15555555555555556,135
0,22251,4,0.24444444444444444,135
0,22251,5,0.28888888888888886,135
0,22501,1,0.2740740740740741,135
0,22501,2,0.24444444444444444,135
0,22501,3,0.17037037037037037,135
0,22501,4,0.2962962962962963,135
0,22501,5,0.34074074074074073,135
0,22751,1,0.2074074074074074,135
0,22751,2,0.2222222222222222,135
0,22751,3,0.17037037037037037,135
0,22751,4,0.26666666666666666,135
0,22751,5,0.3111111111111111,135
0,23001,1,0.2222222222222222,135
0,23001,2,0.23703703703703705,135
0,23001,3,0.2074074074074074,135
0,23001,4,0.3037037037037037,135
0,23001,5,0.3111111111111111,135
0,23251,1,0.2222222222222222,135
0,23251,2,0.28888888888888886,135
0,23251,3,0.25925925925925924,135
0,23251,4,0.23703703703703705,135
0,23251,5,0.28888888888888886,135
0,23501,1,0.21481481481481482,135
0,23501,2,0.34814814814814815,135
0,23501,3,0.2518518518518518,135
0,23501,4,0.3037037037037037,135
0,23501,5,0.362962962962963,135
0,23751,1,0.24444444444444444,135
0,23751,2,0.3111111111111111,135
0,23751,3,0.23703703703703705,135
0,23751,4,0.22962962962962963,135
0,23751,5,0.37037037037037035,135
0,24001,1,0.2740740740740741,135
0,24001,2,0.32592592592592595,135
0,24001,3,0.2074074074074074,135
0,24001,4,0.2740740740740741,135
0,24001,5,0.362962962962963,135
0,24251,1,0.24444444444444444,135
0,24251,2,0.23703703703703705,135
0,24251,3,0.17777777777777778,135
0,24251,4,0.26666666666666666,135
0,24251,5,0.32592592592592595,135
0,24501,1,0.2740740740740741,135
0,24501,2,0.2518518518518518,135
0,24501,3,0.2740740740740741,135
0,24501,4,0.26666666666666666,135
0,24501,5,0.2814814814814815,135
0,24751,1,0.2518518518518518,135
0,24751,2,0.2814814814814815,135
0,24751,3,0.2518518518518518,135
0,24751,4,0.2518518518518518,135
0,24751,5,0.28888888888888886,135
0,25001,1,0.25925925925925924,135
0,25001,2,0.2962962962962963,135
