age,samp_no,chain_no,ar,N
0,301001,1,0.13414634146341464,656
0,301001,2,0.1600609756097561,656
0,301001,3,0.21798780487804878,656
0,301001,4,0.1875,656
0,301001,5,0.1798780487804878,656
0,304501,1,0.18292682926829268,656
0,304501,2,0.16310975609756098,656
0,304501,3,0.18140243902439024,656
0,304501,4,0.21189024390243902,656
0,304501,5,0.17378048780487804,656
0,308001,1,0.19664634146341464,656
0,308001,2,0.20121951219512196,656
0,308001,3,0.16463414634146342,656
0,308001,4,0.19207317073170732,656
0,308001,5,0.1951219512195122,656
0,311501,1,0.1798780487804878,656
0,311501,2,0.1676829268292683,656
0,311501,3,0.1600609756097561,656
0,311501,4,0.21646341463414634,656
0,311501,5,0.2347560975609756,656
0,315001,1,0.15853658536585366,656
0,315001,2,0.19207317073170732,656
0,315001,3,0.18445121951219512,656
0,315001,4,0.22103658536585366,656
0,315001,5,0.16463414634146342,656
0,318501,1,0.17682926829268292,656
0,318501,2,0.2027439024390244,656
0,318501,3,0.1600609756097561,656
0,318501,4,0.21036585365853658,656
0,318501,5,0.19359756097560976,656
0,322001,1,0.20121951219512196,656
0,322001,2,0.2027439024390244,656
0,322001,3,0.16615853658536586,656
0,322001,4,0.17073170731707318,656
0,322001,5,0.21341463414634146,656
0,325501,1,0.1875,656
0,325501,2,0.19664634146341464,656
0,325501,3,0.13719512195121952,656
0,325501,4,0.19817073170731708,656
0,325501,5,0.16920731707317074,656
0,329001,1,0.2073170731707317,656
0,329001,2,0.1875,656
0,329001,3,0.13109756097560976,656
0,329001,4,0.1875,656
0,329001,5,0.21341463414634146,656
0,332501,1,0.19969512195121952,656
0,332501,2,0.17378048780487804,656
0,332501,3,0.19054878048780488,656
0,332501,4,0.21036585365853658,656
0,332501,5,0.1722560975609756,656
0,336001,1,0.19207317073170732,656
0,336001,2,0.15853658536585366,656
0,336001,3,0.21798780487804878,656
0,336001,4,0.1798780487804878,656
0,336001,5,0.1600609756097561,656
0,339501,1,0.17530487804878048,656
0,339501,2,0.21798780487804878,656
0,339501,3,0.16310975609756098,656
0,339501,4,0.16310975609756098,656
0,339501,5,0.2149390243902439,656
0,343001,1,0.16310975609756098,656
0,343001,2,0.20121951219512196,656
0,343001,3,0.14329268292682926,656
0,343001,4,0.1875,656
0,343001,5,0.2027439024390244,656
0,346501,1,0.17073170731707318,656
0,346501,2,0.16920731707317074,656
0,346501,3,0.16158536585365854,656
0,346501,4,0.19207317073170732,656
0,346501,5,0.2027439024390244,656
0,350001,1,0.16615853658536586,656
0,350001,2,0.17530487804878048,656
0,350001,3,0.24390243902439024,656
0,350001,4,0.1676829268292683,656
0,350001,5,0.19969512195121952,656
0,353501,1,0.17835365853658536,656
0,353501,2,0.1798780487804878,656
0,353501,3,0.1798780487804878,656
0,353501,4,0.16463414634146342,656
0,353501,5,0.19054878048780488,656
0,357001,1,0.16310975609756098,656
0,357001,2,0.13567073170731708,656
0,357001,3,0.1448170731707317,656
0,357001,4,0.1524390243902439,656
0,357001,5,0.15701219512195122,656
0,360501,1,0.20121951219512196,656
0,360501,2,0.125,656
0,360501,3,0.17835365853658536,656
0,360501,4,0.13871951219512196,656
0,360501,5,0.16615853658536586,656
0,364001,1,0.1600609756097561,656
0,364001,2,0.22103658536585366,656
0,364001,3,0.20884146341463414,656
0,364001,4,0.2073170731707317,656
0,364001,5,0.16615853658536586,656
0,367501,1,0.17682926829268292,656
0,367501,2,0.18292682926829268,656
0,367501,3,0.18292682926829268,656
0,367501,4,0.17378048780487804,656
0,367501,5,0.1448170731707317,656
0,371001,1,0.22408536585365854,656
0,371001,2,0.1722560975609756,656
0,371001,3,0.18292682926829268,656
0,371001,4,0.16463414634146342,656
0,371001,5,0.19664634146341464,656
0,374501,1,0.1448170731707317,656
0,374501,2,0.18140243902439024,656
0,374501,3,0.1875,656
0,374501,4,0.15853658536585366,656
0,374501,5,0.20121951219512196,656
0,378001,1,0.22408536585365854,656
0,378001,2,0.21341463414634146,656
0,378001,3,0.20121951219512196,656
0,378001,4,0.19817073170731708,656
0,378001,5,0.19054878048780488,656
0,381501,1,0.20426829268292682,656
0,381501,2,0.21189024390243902,656
0,381501,3,0.21341463414634146,656
0,381501,4,0.19359756097560976,656
